Source,Target,Type,Id,Label,Weight,first lines,note,editions,folio,last lines,facsimiles,attributed title,transcription,attributed author
DIMEV 1353,NLS1921,Undirected,273982,,1,"…For he it seiȝe wiþ siȝtNow bigin ichil of
                    him…","Imperfect at beginning and end due to loss of leaves; probably began on
                    f. 262av, a stub of which only a few ends of lines
                    survive.","Turnbull,  William Barclay David Donald,
                        ed.  
             The Romances of Rouland and Vernagu, and Otuel from the Auchinleck
                Manuscript.
Abbotsford Club
         4. Edinburgh, 1836. 
Herrtage,  Sidney John Hervon,
                        ed.  
             The English Charlemagne Romances VI: The Taill of Rauf Coilyear, with
                the fragments of Roland and Vernagu and Otuel.
EETS
         e.s. 39 (1882); repr. 1969: 37-61.",ff. 263ra-267vb,"…Þat was a sarraȝin sternfful sone þis word
                    sprong…","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 1479,CamTCC323,Undirected,274249,,1,"Ful feir flour is þe lilieWid fif leuis hire sal
                    hulie…",,"Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 29-30.",ff. 25va-25vb,"…þer is blisse buten endeIhesu crist us þider
                    sende",,,,
DIMEV 1516,CamTCC323,Undirected,274329,,1,"Glade us maiden moder mildeþurru þin herre þu were
                    wid childe…","Latin texts precede each stanza, with the first Gaude virgo mater
                        christi / que per aurem concepisti.","Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 32-3.
Saupe,  Karen,
                        ed.  
             Middle English Marian
                    Lyrics.
         Kalamazoo, MI: Western Michigan University for TEAMS, 1998: 162-3; 274-6.",ff. 28v-29,"…Be þerin us forto fondenin ioye þat is
                    endeles",,,,
DIMEV 1557,NLS1921,Undirected,274430,,1,"God graunt hem heuen blis to medeÞat herken to mi romaunce
                    rede…",,"Turnbull,  William Barclay David Donald,
                        ed.  
             The Romances of Sir Guy of Warwick, and Rembrun his son.
Abbotsford Club
         18. Edinburgh, 1840: 266-415.
Zupitza,  Julius,
                        ed.  
             The Romances of Guy of Warwick, from the Auchinleck MS. and the Caius
                MS.
             3 vols. 
             EETS
         e.s. 42 (1883); 49 (1887); 59 (1891); repr. as one vol., 1966: 384-628.
Wiggins,  Allison,
                        ed.  
             Stanzaic Guy of
                    Warwick.
         Kalamazoo, MI: Western Michigan University for TEAMS, 2004.",ff. 146vb-167rb,"…Þat we may þat ioie com toAmen par
                    charite","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 1590,BLHar2253,Undirected,274480,,1,"God þat al þis myhtes mayin heuene & erþe
                    þy wille ys oo…",Written two lines of verse per line of MS.,"Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 156-60.
Wright,  Thomas. 
             Specimens of Lyric Poetry composed in England in the Reign of Edward
                the First.
Percy Society
         4. London: Richard, 1842: 99-101.
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 222-4.
Patterson,  Frank A. 
             The Middle English Penitential Lyric.
Columbia University Studies in English.
         New York: Columbia Press, 1911: 64-6.
Brook,  George Leslie. 
             The Harley Lyrics.
         Manchester: Manchester UP, 1948; rev. ed. 1956; 3rd ed. 1964: 68-9.
Luria,  Maxwell Sidney,  and  Richard L. Hoffman, eds.  
             Middle English Lyrics.
         New York: Norton, 1974: 98-9.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 6, no. 73.",f. 106,"…In þy merci y me dogod þat al þis myhtes
                    may","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 1590,PlimptonAd3,Undirected,274481,,1,"God þat alle myȝtes mayin heuene and erþe þi
                    wille is oo…",,"Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 156-60.",f. 241v,"…Mercy lord and be my botegod þat alle myȝtes
                    may",,,,
DIMEV 1590,BLAdd5901,Undirected,274482,,1,"God that alle myghtes may in heuen and erth thi will is ooI have
                    ben tynt many a day eerly and late haue y ben thi foo…","A nineteenth-century transcript of New York,  Columbia University Library Plimpton Addenda 3 [olim Pratt], f.
                        241v. Two verse lines per manuscript line.",,f. 325v,"…I haue ben fals in cropes rote to wickid werkis my wille was
                    ayMarcy lord and be my bote: gofe that alle myghtes may",,,,
DIMEV 1627,CamTCC323,Undirected,274558,,1,,Written 2 lines verse per line in MS.,"James,  Montague Rhodes. 
             Catalogue of the
                    Western Manuscripts in the Library of Trinity College, Cambridge.
         4 vols. Cambridge: at the UP, 1900-1904: 1.441.",f. 28,,,,"Godefrey þe guedehe deode asse vnledehe made gille prut
                    forta seeutor of al is goidAl þat heuere so doitcrist of
                    heuene wrþe hem wroit",
DIMEV 1640,CamTCC323,Undirected,274570,,1,,,"James,  Montague Rhodes. 
             Catalogue of the
                    Western Manuscripts in the Library of Trinity College, Cambridge.
         4 vols. Cambridge: at the UP, 1900-1904: 1.444.",f. 46,,,,Godis wreche late arecheitAn wonne he smit ful sore he hit,
DIMEV 1735,BodDig2,Undirected,274703,,1,"Hayl marihit am sori haf pite of me and mercimi
                    leuedi to þe i cri for mi sinnis dred ham hi…",,"Furnivall,  Frederick James,
                        ed.  
             “Religious Poems from MS. Digby 2.” 
             Archiv für das Studium der neueren Sprachen und
                Literaturen
         97 (1896): 309-12: 311.
Furnivall,  Frederick James,
                        ed.  
             The Minor Poems of the Vernon Manuscript, Part 2.
EETS
         o.s. 117 (1901; repr. 1973): 755-6.
Patterson,  Frank A. 
             The Middle English Penitential Lyric.
Columbia University Studies in English.
         New York: Columbia Press, 1911: 91-2.
Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 124-5.
Saupe,  Karen,
                        ed.  
             Middle English Marian
                    Lyrics.
         Kalamazoo, MI: Western Michigan University for TEAMS, 1998: 129-30; 249.",f. 6v,"…we sal haf ned þarea pan mari to calle &
                    c",,,,
DIMEV 1750,BLHar913,Undirected,274719,,1,"Hail seint michel wiþ þe lange sperfair be þi winges
                    upon þi scholder…","Nineteenth-century transcript in London,  British Library Addit. 20091, ff.
                    65-73.","Wright,  Thomas,  and  James Orchard Halliwell-Phillipps, eds.  
             Reliquiae Antiquae.
         2 vols. London: Smith, 1845: 2.174-7.
Furnivall,  Frederick James. 
             Early English Poems and Lives of Saints.
Transactions of the London Philological Society
         1858; Pt. 2, Berlin, 1862: 1.152.
Heuser,  Wilhelm. 
             Die Kildare-Gedichte…
Bonner Beiträge zur Anglistik
         14. Bonn: P. Hanstein, 1904: 154-8.
Pinkerton,  W. 
             “Early Anglo-Irish Poetry.” 
             Ulster Journal of Archaeology
         8 (1860): 268-79: 270-6.
Sisam,  Celia,  and  Kenneth Sisam, eds.  
             The Oxford Book of Medieval English Verse.
         Oxford: Clarendon, 1970: 156-8.",ff. 7-8v,"…þis song if ye seid of meEuer iblessid mot ȝe
                    be","Pinkerton,  W. 
             “Early Anglo-Irish Poetry.” 
             Ulster Journal of Archaeology
         8 (1860): 268-79: (f. 7 only).",,,
DIMEV 1769,BodDig86,Undirected,274747,,1,Herkneþ to mi ronAs hic ou tellen con…,,"Varnhagen,  Hermann. 
             “Zu mittelenglischen gedichten: IV-X.” 
             Anglia
         3 (1880): 59-67, 275-92, 415-25, 533-51: 278-82.
Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 92-100.",f. 134va-134vb,"…Min helde ne me biflitenWel heye I shulde hire
                    honge","Tschann,  Judith A.,  and  Malcolm B. Parkes.  
             “Introduction.” 
             Facsimile of Oxford, Bodleian Library, MS Digby 86
EETS
         s.s. 16 (1996).",Le regret de maximian (f. 134v),,
DIMEV 1769,BLHar2253,Undirected,274748,,1,Herkne to my ron As ich ou telle con…,,"Wright,  Thomas,  and  James Orchard Halliwell-Phillipps, eds.  
             Reliquiae Antiquae.
         2 vols. London: Smith, 1845: 1.119-25.
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 245-53.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 68.",ff. 82ra-83,…amen par charite ant so mote hit be,"Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 1782,NLS1921,Undirected,274775,,1,"Herkneþ alle to my specheAnd hele of soule i may ou
                    teche…",1031 lines; ends imperfectly due to loss of part of folio.,"Morrill,  Georgiana Lea,
                        ed.  
             Speculum Gy de Warewyke.
EETS
         e.s. 75 (1898); repr. 1988.",ff. 39ra-48ra,…Þat is king [ ]And ȝeue us [ ]…,"Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 1784,NLS1921,Undirected,274780,,1,"HErkneþ boþe ȝinge & oldeþat willen heren
                    of batailles bolde…","1738 lines in this MS, many folios mutilated; ends imperfectly due to
                    lost leaves, and last extant folio (277v) virtually illegible.
                    Nineteenth-century transcript in Oxford,  Bodleian Library Douce 376 (SC 21951), f. 1.","Turnbull,  William Barclay David Donald,
                        ed.  
             The Romances of Rouland and Vernagu, and Otuel from the Auchinleck
                Manuscript.
Abbotsford Club
         4. Edinburgh, 1836: 31-84.
Herrtage,  Sidney John Hervon,
                        ed.  
             The English Charlemagne Romances VI: The Taill of Rauf Coilyear, with
                the fragments of Roland and Vernagu and Otuel.
EETS
         e.s. 39 (1882); repr. 1969:  65-116.",ff. 268ra-272vb,…[ ] fair w[ ][ ] þai [ ],"Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",Otuel a kniȝt (f. 286ra),,
DIMEV 1785,BLHar2253,Undirected,274781,,1,"Herkeþ hideward ant beoþ stilley preie ou ȝof hit be
                    or wille…",,"Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 256-63.
 Bad Key: Horstmann1878: 171-3.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 32.",ff. 64va-65vb,"…þou haue merci of mefor loue of þine
                    childe","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 1786,NLS1921,Undirected,274788,,1,"Herkeneþ hiderward lordingesȜe þat wil here of
                    kinges…","C-text, 2370 lines in this MS.","Carroll,  Marion Crane,  and  Rosemond Tuve.  
             “Two Manuscripts of the Middle English Anonymous Riming
                Chronicle.” 
             PMLA
         46 (1931): 115-54: 117-48.",ff. 304ra-317rb,"…Þurth his hates þat be tenSay we now alle
                    amen","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.","Explicit Liber Regum Anglie (f. 317rb); Here may men rede who so
                    can / hou Inglond first bigan / þen mow it finde In englische / as þe
                    brout it telleþ y wiis (f. 304ra)",,
DIMEV 1789,NLS1921,Undirected,274795,,1,"Herkneþ to me boþe eld & ȝingFor maries loue
                    þat swete þing…",,"Krause,  F. 
             “Kleine Publicationen aus der Auckinleck-Handschrift, IX: The King of
                Tars.” 
             Englische Studien
         11 (1888): 1-62: 33-62.
Perryman,  Judith,
                        ed.  
             The King of Tars, edited from the Auchinleck MS, Advocates’
                19.2.1.
Middle English Texts
         12. Heidelberg: Universitätsverlag / Carl Winter, 1980.",ff. 7ra-13vb,"…& cristen men wiþ outen wenestriken of her heuedes
                    al bidene","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 1795,BodLauMis108,Undirected,274811,,1,"Herknet to me gode menWiues maydnes and alle
                    men…",,"Madden,  Frederick,
                        ed.  
             The Ancient English Romance of Havelok the Dane.
Roxburghe Club
         London: Nicol, 1828. 
Skeat,  Walter William,
                        ed.  
             The Lay of Havelok the Dane.
EETS
         e.s. 4 (1868); repr. 1973. 
Holthausen,  Ferdinand,
                        ed.  
             Havelok.
Old and Middle English Texts
         1. London, New York: S. Low, Marston & Cie, etc., 1901. 
Skeat,  Walter William,
                        ed.  
             The Lay of Havelok the Dane.
         Oxford: Clarendon,1902; rev. ed. 
                Kenneth
                Sisam
            , Oxford: Clarendon, 1915. 
Zupitza,  Julius. 
             Alt- und mittelenglisches Uebungsbuch mit einem
                Wörterbuch.
         8th ed. Vienna and Leipzig: Braumüller, 1907; 12th ed., ed. Albert
            Eichler. Wein: Braumüller, 1922: 131-4 (excerpt).
French,  Walter Hoyt,  and  Charles Brockway Hale.  
             Middle English Metrical Romances.
         New York: Prentice-Hall, 1930: 74.
Botzenmayer,  Karl. 
             Helden und abenteuer aus germanischer und keltischer Vorzeit
WestermannTexte, Englische Reihe nr. 129.
         Paderborn: Schöningh, 1957. 
Sands,  Donald B.,
                        ed.  
             Middle English Verse Romances.
         New York: Holt, Rinehart and Winston, 1966: 58-129.
Sisam,  Celia,  and  Kenneth Sisam, eds.  
             The Oxford Book of Medieval English Verse.
         Oxford: Clarendon, 1970: 59-67.
Hertzman,  Ronald B., Graham Drake,   and  Eve Salisbury, eds.  
             Four Romances of England: King Horn, Havelok the Dane, Bevis of Hampton,
                    Athelston.
         Kalamazoo, MI: Western Michigan University for TEAMS, 1999.",ff. 204ra-219va,"…Þat ihesu crist his soule bringeBi forn his fader at his
                    endinge",,"[ ] Rex Anglie (rubric, partly cropped, f. 204)",,
DIMEV 1814,CamTCC323,Undirected,274866,,1,"Hawe on god in WrchipeHe ne in þu is nome in
                    idilchipe…",16 lines in couplets written 2 per line.,"Brown,  Carleton Fairchild,
                        ed.  
             English Lyrics of the XIIIth Century.
         Oxford: Clarendon, 1932: 181-2; 33.
Stevick,  Robert D.,
                        ed.  
             One Hundred Middle English Lyrics.
         Indianapolis: Bobbs-Merrill, 1964: 10.
Reichl,  Karl,
                        ed.  
             Religiöse Dichtung im Englischen Hochmittelalter: Untersuchen und
                Edition der Handschrift B. 14.39 des Trinity College in Cambridge.
Münchener Universitäts Schriften, Text und Untersuchungen zur
                Englische Philologie 1
         Munich: Wilhelm Fink, 1973: 334.",f. 29,"…Hoe þat kepit hem ariitHe sulen into heuen
                    bytt",,,,
DIMEV 1833,BodLauMis108,Undirected,274901,,1,,"Follows 779 and precedes
                        835.",,f. 238v,,,,"[ ]e þe wise and wel i tauȝtcan bere an horne & blow it
                    nouȝt",
DIMEV 1838,NLS1921,Undirected,274917,,1,,,,f. 32v,,"Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 1882,NLS1921,Undirected,275015,,1,"He þat made made heuen & erþe & sonne & mone forto
                    schineBring ous in to his riche & scheld ous fram helle
                    pine…","Written half line per line of MS; or 8-line stanzas, abcbdbeb; ends
                    imperfectly.","Turnbull,  William Barclay David Donald,
                        ed.  
             Legendae Catholicae.
         Edinburgh, 1840: 167-209.
Horstmann,  Carl. 
             Altenglische Legenden: Neue Folge.
         Heilbronn: Henninger, 1881: 242-58.",ff. 21ra-24vb,"…Do now forþ þou fendes lim Of þe no am y nouȝt
                    agastFor al þat þou canst bi þinke Y wil suffre al in
                    hast","Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",Seynt Katerine (f. 21ra),,
DIMEV 1961,BLHar2253,Undirected,275198,,1,"Her commensez a bok of sweuenyng þat men metteþ in
                    slepyng…",,"Wright,  Thomas,  and  James Orchard Halliwell-Phillipps, eds.  
             Reliquiae Antiquae.
         2 vols. London: Smith, 1845: 1.261-8.
Förster,  Max. 
             “Beiträge zur mittelalterlichen Volkskunde, V.” 
             Archiv für das Studium der neueren Sprachen und
                Literaturen
         127 (1911): 31-84: 36-46.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 6, no. 85.",ff. 119ra-121ra,"…he vs wyte & warde bo ant euer shilde vs from vr
                    fo","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 2025,BLHar2253,Undirected,275269,,1,"Heȝe louerd þou here my bone þat madest middelert
                    & mone…",,"Wright,  Thomas. 
             Specimens of Lyric Poetry composed in England in the Reign of Edward
                the First.
Percy Society
         4. London: Richard, 1842: 47-51.
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 187-80.
Patterson,  Frank A. 
             The Middle English Penitential Lyric.
Columbia University Studies in English.
         New York: Columbia Press, 1911: 61-4.
Brown,  Carleton Fairchild,
                        ed.  
             Religious Lyrics of the XIV Century.
         Oxford: Clarendon, 1924. 2nd ed., rev.: G. V. Smithers, Oxford,
            1952: 3-7.
Brook,  George Leslie. 
             The Harley Lyrics.
         Manchester: Manchester UP, 1948; rev. ed. 1956; 3rd ed. 1964: 46-8.
Luria,  Maxwell Sidney,  and  Richard L. Hoffman, eds.  
             Middle English Lyrics.
         New York: Norton, 1974: 102-5.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 45.",ff. 72ra-72va,"…þat we of sontes habben syht ant heuene to
                    mede","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 2042,BodDig86,Undirected,275335,,1,"Holi gost þi miȝtteOus wisse and rede and
                    diȝte…",,"Horstmann,  Carl. 
             Altenglische Legenden: Neue Folge.
         Heilbronn: Henninger, 1881: 505-10.
Furnivall,  Frederick James,
                        ed.  
             The Minor Poems of the Vernon Manuscript, Part 2.
EETS
         o.s. 117 (1901; repr. 1973): 765-76.",ff. 127va-130rb,"…Among þe hengles briȝteAmen so hit be
                    mote","Tschann,  Judith A.,  and  Malcolm B. Parkes.  
             “Introduction.” 
             Facsimile of Oxford, Bodleian Library, MS Digby 86
EETS
         s.s. 16 (1996).","Her biginneþ þe sawe of Seint bede prest (f.
                    127v)",,
DIMEV 2113,BLEge613,Undirected,275512,,1,"I eam elder þen ic ƿas aƿintre and a loreIc waeld
                    more þanne ic dude mi ƿit ah to ben more…",Lacking last 26 lines.,"Zupitza,  Julius. 
             Alt- und mittelenglisches Uebungsbuch mit einem
                Wörterbuch.
         8th ed. Vienna and Leipzig: Braumüller, 1907; 12th ed., ed. Albert
            Eichler. Wein: Braumüller, 1922: 81-91.",ff. 64-70v,"…Þer is ƿele abute gane & reste abuten
                    swincheÞe mai and nele ðider comesare hit him scal of
                    ðinche",,,,
DIMEV 2122,CamTCC323,Undirected,275536,,1,,,"James,  Montague Rhodes. 
             Catalogue of the
                    Western Manuscripts in the Library of Trinity College, Cambridge.
         4 vols. Cambridge: at the UP, 1900-1904: 1.441.",f. 28,,,,hic am michel of airasWl sone ic am virþeten alas,
DIMEV 2198,BLHar2253,Undirected,275663,,1,"Ich herde men vpo mold make muche monHou he beþ itened of here
                    tilyynge…",Written two lines of verse per line in the MS.,"Wright,  Thomas,
                        ed.  
             The Political Songs of England.
Camden Society
         o.s. 6 (1839): 149-52.
Wülker,  Richard Paul,
                        ed.  
             Altenglisches Lesebuch.
         2 vols. in one. Halle: Lippert, 1874, 1880: 1.71.
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 102-5.
Brandl,  Alois Leonhard. 
             Mittelenglische Sprach- und Literatureproben.
         2nd ed. Berlin, 1917; repr. as  Middle English
                Literature New York: Chelsea, 1949: 134+5.
Sampson,  George. 
             The Cambridge Book of Prose and Verse.
         Cambridge: at the UP, 1924: 396-8.
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin-Charlottenburg: E. Schütt, 1954: 171.
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin, 1954; 3rd ed.; trans. as  Medieval English: a
                Old English and Middle English Anthology Berlin West, 1958: 358.
Robbins,  Rossell Hope,
                        ed.  
             Historical Poems of the XIV and XV Centuries.
         New York: Columbia UP, 1959: 7-9.
Sisam,  Celia,  and  Kenneth Sisam, eds.  
             The Oxford Book of Medieval English Verse.
         Oxford: Clarendon, 1970: 111-14.
Turville-Petre,  Thorlac. 
             Alliterative Poetry of the Later Middle Ages.
Routledge Medieval English Texts.
         Washington: Catholic University of America Press, 1989: 17-20.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 31.",f. 64,"…Þer wakeneþ in þe world wondred ant weeAse god
                    is swynden anon as so forte swynke","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 2279,BodDig2,Undirected,275806,,1,Hi sike al wan hi singefor sorue þat hi se…,,"Furnivall,  Frederick James,
                        ed.  
             “Religious Poems from MS. Digby 2.” 
             Archiv für das Studium der neueren Sprachen und
                Literaturen
         97 (1896): 309-12: 308.
Furnivall,  Frederick James,
                        ed.  
             The Minor Poems of the Vernon Manuscript, Part 2.
EETS
         o.s. 117 (1901; repr. 1973): 753-4.
Sisam,  Celia,  and  Kenneth Sisam, eds.  
             The Oxford Book of Medieval English Verse.
         Oxford: Clarendon, 1970: 37-9.
Silverstein,  Theodore,
                        ed.  
             Medieval English Lyrics.
         York Medieval Texts. London: Edw. Arnold, 1971: 34-6.",f. 6,…for any worlde his winþat was so der hi boyt,,,,
DIMEV 2279,BLHar2253,Undirected,275807,,1,I syke when y singe for sorewe þat y se…,,"Wright,  Thomas. 
             Specimens of Lyric Poetry composed in England in the Reign of Edward
                the First.
Percy Society
         4. London: Richard, 1842: 85-7.
Böddeker,  Karl. 
             Altenglische Dichtungen des MS. Harl. 2253.
         Berlin: Weidmann, 1878: 210-124.
Cook,  Albert Stanburrough. 
             A Literary Middle English Reader.
         Boston and New York: Ginn, 1915: 455-7.
Brook,  George Leslie. 
             The Harley Lyrics.
         Manchester: Manchester UP, 1948; rev. ed. 1956; 3rd ed. 1964: 59-60.
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin-Charlottenburg: E. Schütt, 1954: 294-5.
Kaiser,  Rolf,
                        ed.  
             Alt- und mittelenglische Anthologie.
         Berlin, 1954; 3rd ed.; trans. as  Medieval English: a
                Old English and Middle English Anthology Berlin West, 1958: 393.
Davies,  Reginald Thorne. 
             Medieval English Lyrics: a critical anthology.
         London, 1963; Evanston, IL: Northwestern UP, 1964: 82-4.
Luria,  Maxwell Sidney,  and  Richard L. Hoffman, eds.  
             Middle English Lyrics.
         New York: Norton, 1974: 219-20.
Saupe,  Karen,
                        ed.  
             Middle English Marian
                    Lyrics.
         Kalamazoo, MI: Western Michigan University for TEAMS, 1998: 109-10; 236-7.
Fein,  Susanna Greer,
                        ed.  
             The Complete Harley 2253 Manuscript, Volume 2.
         Kalamazoo, Michigan: Medieval Institute Publications, 2009: Booklet 5, no. 62.",f. 80ra,"…þat haþ vs duere boht he bring vs to
                    wynne","Ker,  Neil Ripley. 
             “Introduction.” 
             Facsimile of British Museum MS. Harley 2253.
EETS
         o.s. 255 (1965).",,,
DIMEV 2305,NLS1921,Undirected,275870,,1,"I was a[t erþeldoun]Wiþ tomas spak y
                    þare…","3344 lines in 11-line stanzas; ends imperfectly due to loss of most of
                    leaf, now a stub (f. 299ra).","Scott,  Sir Walter,
                        ed.  
             Sir Tristrem.
         Edinburgh: Constable, 1804 et seq. 
Kölbing,  Eugen. 
             Die nordische und die englische Version der Tristan-sage.
         2 vols. Heilbronn: Henninger, 1878-82: 2.1.
McNeill,  George Powell,
                        ed.  
             Sir Tristrem.
Scottish Text Society
         8. Edinburgh and London: W. Blackwood, 1886. 
Eyre-Todd,  George. 
             Early Scottish Poetry.
         Glasgow: W. Hodge, 1891: 21-57 (extracts).
Lupack,  Alan,
                        ed.  
             Lancelot of the Laik
                    and Sir Tristrem.
         Kalamazoo, MI: Western Michigan University for TEAMS, 1994.",ff. 281ra-298vb,…A canaruwe oway he bareIn his eld wounde…,"Pearsall,  Derek,  and  I. C. Cunningham, eds.  
             The Auchinleck Manuscript. National Library of Scotland
                Advocates’ MS. 19.2.1.
         London: Scolar Press, 1977.",,,
DIMEV 2315,CamTCC323,Undirected,275885,,1,,,"James,  Montague Rhodes. 
             Catalogue of the
                    Western Manuscripts in the Library of Trinity College, Cambridge.
         4 vols. Cambridge: at the UP, 1900-1904: 1.441.
Wilson,  Richard Middlewood. 
             The Lost Literature of Medieval England.
         London: Methuen, 1952: 181.
Sisam,  Celia,  and  Kenneth Sisam, eds.  
             The Oxford Book of Medieval English Verse.
         Oxford: Clarendon, 1970: 552.",f. 27v,,,,"Ic chule bere to wasscen doun in þe toun[þ]at was blac ant
                    þat was broun",
