Id	Label	Note	Subjects	Versification	_description	Macaronic	Author(s)	Author confidence	Title(s)	Bibliographic Ghosts	Type
DIMEV 2024	High in the heavens figure circular		dream poetry	— seven-line — ababbcc	The Kingis Quair, ascribed to James I of Scotland — 197 stanzas rhyme royal		James I, king of Scotland	attributed	Kingis Quair		Text
DIMEV 2025	High lord thou hear my boon / That madest middle earth & moon		penitence; prayers, of confession; mutability	— twelve-line, five-line — aabaabccbccb, abaab	A prayer of penitence by an old man — 108 lines in alternating 12- and 5-line stanzas						Text
DIMEV 2026	High towers by strong winds full low be cast		wealth, dangers of; advice	— two-lines — aa	‘Tuta paupertas’ — two couplets				‘Tuta paupertas’		Text
DIMEV 2027	Him were better that he ne were ne never born / For life and soul be his forlorn	Cf. 6216.	proverbs	— two-line — aa	"Illustrative couplet to conclude a specimen exemplum in a ‘Liber Exemplorum
ad usum praedicantium’ — one couplet introduced by ‘Anglice dicitur’"						Text
DIMEV 2028	Himself by giving receiveth a benefit	Added sideways to left margin, bottom to top, preceded by Latin ‘Beneficium dando accepit qui digno dedit’.	advice, moral; translations	— two-line — aa	Give to those worthy — one couplet						Text
DIMEV 2029	His body is wapped all in woe / Hand and foot he may not go	For an earlier version in couplets see 3326, 3959, etc.; for other versions in quatrains see 3424 and 5653; for Kele’s version see 3424.	carols, of the Passion; dialogues	— four-line, two-line — aaab	A song of the Passion — eight quatrains and burden: ‘Mary modyr cum and se / Thi son is naylyd on a tre’						Text
DIMEV 2030	His brother Ruffyn of him great marvel had	Only fragments of the first leaf are preserved: the first complete line is line 70.	Wulfhade and Ruffyn, saints		Legend of SS. Wulfhade and Ruffyn						Text
DIMEV 2031	His colour blacketh	See 6460.	death, approach of	— two-line — aa	Signs of Death — four lines				‘Homo in fine’		Text
DIMEV 2032	His sign is a star birth		carols, Epiphany	— four-line, two-line — aaab	An Epiphany carol — three quatrains (aaab) with ‘Iluminare Jerusalem’ refrain and burden: ‘Illuminare jherusalem / The duke aperyth in bedlem’	Latin					Text
DIMEV 2033	Ho quod the Knight good sir no more of this		pilgrims/pilgrimage; prologues; interuptions	— couplets — aa	Geoffrey Chaucer, the Nun’s Priest’s Prologue of The Canterbury Tales — 53 lines in couplets, occurring in two forms, one lacking lines VII.2771-90.		Geoffrey Chaucer		Nun’s Priest’s Prologue; Canterbury Tales		Text
DIMEV 2034	Hoccleve I will it to thee knowen be		money	— roundel	Thomas Hoccleve, Lady Money’s scornful answer to his petition — a roundel in twenty-four lines		Thomas Hoccleve		Lady Money’s scornful answer to his petition		Text
DIMEV 2035	Hogyn came to bowers door	Lines 3 and 5 repeat in each stanza.	ribaldry	— six-line — aaabab, aabcbc	Old Hogyn and his Girl Friend, a ribald lyric — six 6-line stanzas, with refrain ‘Hum ha trill go bell’ in lines 4 and 6 of each stanza						Text
DIMEV 2036	Hold thy thumb in thy fist		proverbs; translations	— two-line — aa	A proverbial couplet, translating Sit pollex pugno si sciuissem fugiendo						Text
DIMEV 2037	Hold up our young king Ave benigna		Henry VI, coronation; occasional verse; historical verse	— two-line — aa	On the Coronation of Henry VI (1429) — 59 lines in couplets						Text
DIMEV 2038	Holly and Ivy made a great party [Holver and Heivy made a grete party]		carols	— three-line — abb	Holly and Ivy — four 3-line stanzas						Text
DIMEV 2039	Holly beareth berries red enough		carols, holy and ivy	— four-line, two-line — aaaa, aa	Holly against Ivy — four monorhyming quatrains and burden: ‘Nay nay ive it may not be iwis / For holy must haue the mastry as the maner is’						Text
DIMEV 2040	Holy Archangel Michael	Followed by 3208.	invocations	— two-line — aa	Introductory invocation to Ayenbite of Inwyt — two couplets				Ayenbite of Inwyt		Text
DIMEV 2041	Holy Bede breaketh bond		sermons, verse in	— two-line — aa	An English tag in a Latin sermon, two lines						Text
DIMEV 2042	Holy ghost thy might / Us wis and read and dight	For a somewhat earlier text see 5698.	Bede the Venerable, saint; death, meditations on	— six-line — aabaab, aabccb	‘þe sawe of Seint bede prest’ — 373 lines, mostly in 6-line stanzas				The sawe of Seint bede prest		Text
DIMEV 2043	Holy Maiden blessed Thou be / Gods son is born of Thee	For a variant see 823.	carols, to the Virgin Mary; Virgin Mary, hymns to	— four-line, two-line — aaab	A song in praise of the Virgin Mary — seven quatrains (aaaa) with refrain ‘Regina celi letare’, and burden: ‘Synge we to this mery cumpane / Regina celi letare’	Latin					Text
DIMEV 2044	Holy Maker of stars bright		God, hymns to; hymns, to God; translations	— four-line — aabb	James Ryman, ‘Conditor alme siderum’ — six quatrains (aabb) and burden: ‘Conditor alme syderum / Eterna lux credencium / Criste Redemptor omnium / Exaudi preces supplicum’	Latin	James Ryman		‘Conditor alme siderum’		Text
DIMEV 2045	Holy Mother that bore Christ buyer of mankind		hymns to Virgin Mary	— irregular — abcbdbeebfgfg	William Herebert, ‘Alma redemptoris mater’ — eleven lines		William Herebert		‘Alma redemptoris mater’		Text
DIMEV 2046	Holy Saints Edward and Saint Louis	See also 247; formerly included under 3151.	pageant verses; Henry VI, coronation; chronicles, verse in; Edward the Confessor, saint; Louis, saint	— eight-line — abababcc	Verse accompanying a soteltie at the coronation of Henry VI (1432) — one 8-line stanza						Text
DIMEV 2047	Holy Thomas of heavenriche		Thomas of Canterbury, saint; hymns, to saints	— two-line — aa	‘Antiphona de sancto Thoma Martyre’ — five couplets						Text
DIMEV 2048	Holy water well I-made	Stanzas separated by Latin prose; follows 171.	churches, dedication of; sermons, verse in	— four-line — aabb	Four things used in blessing a church, and a comment on how these things are lacking in the author’s time — two quatrains (aabb) in a sermon (by Bromyard?) de dedicatione ecclesie						Text
DIMEV 2049	Holy Wright of stars bright		God, hymns to; hymns, to God	— six-line, four-line — aabccb, aaaa, abab	William Herebert, ‘Conditor alme siderum’ — twenty-eight lines in 4- and 6-line stanzas		William Herebert		‘Conditor alme siderum’		Text
DIMEV 2050	Holy Writ sayeth which no thing is soother		carols, of religious counsel; counsel, religious	— four-line, two-line — aaab	‘Amende me and peyre me nauȝt’ — six quatrains (aaab) and burden: ‘I pray yow all wyth o thowght / Amende me and peyre me nowght’				‘Amende me and peyre me nauȝt’		Text
DIMEV 2051	Homo proponit / Oft times in vain	Immediately follows 1497.	aphorisms	— four-line — abab	‘Homo proponit, deus disponit’ — a short cross-rhymed quatrain	Latin					Text
DIMEV 2052	Honour and beauty virtue and gentleness		ballads; envoys	— eight-line, four-line	John Lydgate, ‘A Ballade to his Sovereign Mistress’, or ‘Balade coulourd and reuersid’ — three 8-line stanzas and 4-line Envoy		John Lydgate		‘A Ballade to his Sovereign Mistress’; ‘Balade coulourd and reuersid’		Text
DIMEV 2053	Honour and joy health and prosperity	First stanza abacbdd because scribe has written ‘certente’ instead of likely ‘certeyne’ in line 4.	love letters; lovers, addresses to beloved	— seven-line — ababbcc	A letter to his heart’s sovereign — five stanzas rhyme royal						Text
DIMEV 2054	Honour and praise as must to him abound		lovers, faithful; envoys	— ten-line — ababbccbcb	"The Faithfull Lover, translated from the French of Charles d’Orléans (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 70) — three 10-line stanzas (ababbccbcb) and 4-line Envoy"		Charles d’Orléans				Text
DIMEV 2055	Honour joy health and pleasance		lovers, addresses to beloved; envoys	— eight-line — ababbcbc	A place in his mistress’ heart, by Charles d’Orléans — three 8-line stanzas (ababbcbc) and 4-line Envoy		Charles d’Orléans				Text
DIMEV 2056	Honour of kings in every mans sight		occasional verse; pageants; chronicles, verse in	— two-line — aa	A ‘scripture’ or descriptive title in a London pageant — one couplet (in Gregory’s Chronicle)				Gregory’s Chronicle		Text
DIMEV 2057	Honour thine God and pity the poor		precepts; repentance; advice, spiritual; almsgiving	— two-line — aa	Advice to honour God, pity the poor and amend one’s life — one couplet						Text
DIMEV 2058	Honour with all manner of hail		love letters	— two-line — aa	Epistle to a Lady — twelve couplets						Text
DIMEV 2059	Honoured and blessed must He be		alchemy	— four-line	Epilogue, praising God, to an alchemical tract in prose — one quatrain						Text
DIMEV 2060	Honoured be this holy feast day			— seven-line — ababbcc	Thomas Hoccleve, Angels’ Song on Epiphany, in the English translation of the Pèlerinage de l’âme — four stanzas rhyme royal		Thomas Hoccleve				Text
DIMEV 2061	Honoured be Thou blissful heaven Queen		songs; Virgin Mary	— seven-line — ababbcc	Thomas Hoccleve, ‘The Angels’ Song’, in the English translation of the Pèlerinage de l’âme — two stanzas rhyme royal		Thomas Hoccleve		‘The Angels’ Song’; Pèlerinage de l’âme		Text
DIMEV 2062	Honoured be Thou blissful Lord above		songs	— seven-line — ababbcc	Thomas Hoccleve, ‘The Song of Graces of All Saints’, in the English translation of the Pèlerinage de l’âme — four stanzas rhyme royal		Thomas Hoccleve		‘The Song of Graces of All Saints’; Pèlerinage de l’âme		Text
DIMEV 2063	Honoured be Thou blissful Lord benign		Virgin Mary, nativity of	— seven-line — ababbcc	Thomas Hoccleve, Song of the Nativity of the Virgin Mary, in the English translation of the Pèlerinage de l’âme — seven stanzas rhyme royal		Thomas Hoccleve		Song of the Nativity of the Virgin Mary; Pèlerinage de l’âme		Text
DIMEV 2064	Honoured be Thou blissful Lord Jesu		illlustrations, verse accompanying	— seven-line — ababbcc	Thomas Hoccleve, The Angels’ Second Song within Heaven, in the English translation of the Pèlerinage de l’âme — five stanzas rhyme royal		Thomas Hoccleve		Pèlerinage de l’âme; The Angels’ Second Song within Heaven		Text
DIMEV 2065	Honoured be Thou blissful Lord on high		songs; pilgrims/pilgrimage	— seven-line — ababbcc	Thomas Hoccleve, ‘Cantus peregrinorum’, in the English translation of the Pèlerinage de l’âme — five stanzas rhyme royal		Thomas Hoccleve		Pèlerinage de l’âme; ‘Cantus peregrinorum’		Text
DIMEV 2066	Honoured be Thou Holy Ghost on high		songs; pilgrims/pilgrimage; Whitsunday	— seven-line — ababbcc	Thomas Hoccleve, Song of Angels and All Saints at Pentecost, in the English translation of the Pèlerinage de l’âme — three stanzas rhyme royal		Thomas Hoccleve		Pèlerinage de l’âme; Song of Angels and All Saints at Pentecost		Text
DIMEV 2067	Honoured be Thou Jesu our Saviour		Easter; songs	— seven-line — ababbcc	Thomas Hoccleve, Angels’ song on Easter Day, in the English translation of the Pèlerinage de l’âme — five stanzas rhyme royal		Thomas Hoccleve		Pèlerinage de l’âme		Text
DIMEV 2068	Honoured be thou Lord of might		Virgin Mary, assumption of	— seven-line — ababbcc	Song at the Assumption: poem occurring only in this MS of the English translation of the Pèlerinage l’âme — five stanzas rhyme royal				Pèlerinage l’âme		Text
DIMEV 2069	Hop hop Willikin hop Willikin		songs, popular		A fragment of an English song ascribed to the Flemish soldiers under the Duke of Leicester (1173) but probably a later dance-burden						Text
DIMEV 2070	Hope hath me now fresh gladsome tiding brought		lovers, hopes of; envoys	— eight-line — ababbcbc	"The Lover’s Hopes, translated from the French of Charles d’Orléans (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 94) — three 8-line stanzas (ababbcbc) and 4-line Envoy"		Charles d’Orléans				Text
DIMEV 2071	Hope is hard there hap is foe		hope; Fortune	— four-line — aaaa	Hope in Adversity — four monorhyming lines						Text
DIMEV 2072	Hope ne were / Heart bursten were	"Also appearing in Herbert and Madden (1838)
XJohn Alexander Herbert, and Frederick Madden. Gesta Romanorum.
Roxburghe Club 55. London: Nichols, 1838, 374; Herrtage (1879)
XHerrtage, Sidney John Hervon. The Early English Version of the Gesta Romanorum.
EETS e.s. 33 (1879); repr. 1962, 228; cf. Owst (1933)
XOwst, Gerald Robert. Literature and Pulpit in Medieval England. Cambridge: UP, 1933, 43), and Pricke of Conscience (5398), lines 7263-6."	proverbs; hope; translations	— two-line — aa	"A proverbial couplet [Tilley (1950)
XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, H 605] translating ‘Si spes non esset cor ruptum sepe fuisset’"					London, British Library Harley 3362: prosified version in this MS only, f. 4.	Text
DIMEV 2073	Hope well and have well		hope, cautions about	— four-line — abcb	Hope not too much — four lines rhyming abcb						Text
DIMEV 2074	Hot and moist is Aquarius as is the air men telleth us before		zodiac	— four-line	Verses on the Signs and the Twelve Months — twelve quatrains						Text
DIMEV 2075	Hound eat that hen men speleth	"See Förster (1902)
XFörster, Max. “Frühmittelenglische Sprichwörter.” Englische Studien 31 (1902): 1-20, 6, citing the Latin ‘uorat gnarus canis id quod seruat auarus’."	aphorisms; hoarding; avarice; women	— two-line — aa	Aphorism on hoarding — one short couplet						Text
DIMEV 2076	Hour passeth		transience	— three-line — aab	Aphorism about shortness of man’s life — three lines						Text
DIMEV 2077	How a lion shall be banished and to Berwick gone	"Merged with 4140; see Jaech (1985)
XJaech, Sharon L. Jansen. “‘The Marvels of Merlin’ and the Authority of Tradition.” Studies in Medieval and Renaissance History 9 (1985): 35-73 and Weiskott (2016)
XWeiskott, Eric. “A New Text of the Marvels of Merlin.” Journal of the Early Book Society 19 (2016): 227-39."									Text
DIMEV 2078	How cometh all ye that been I-brought	"Cf. ‘The lyf ys longe that lothesumlye dothe last’, Oxford, Bodleian Library Ashmole 48 (SC 6933), st. 6: ‘Dethe ys a port wherby we passe to joy’, pr. Wright (1860)
XWright, Thomas. Songs and Ballads, with other Short Poems, chiefly of the Reign of Philip and Mary.
Roxburghe Club 78. London: Nicholas, 1860, 36-7."	instruction, philosophical; death	— eight-line — ababbcbc	The Port of Peace: Not Death but God — one 8-line stanza from Walton’s translation of Boethius (2677), Book III, Metre 10		Boethius; John Walton		The Port of Peace: Not Death but God (Walton)		Text
DIMEV 2079	How darest thou swear or be so bold also		swearing, against	— seven-line — ababbcc	Against swearing and blaspheming Christ in the use of oaths — one stanza rhyme royal						Text
DIMEV 2080	How hard it was and what distress		Christ, address to humankind	— four-line — aaaa	Christ speaks from the Cross — one monorhyming quatrain in John Grimestone’s sermon book explicating ‘Mors mea quam dura fuir, indicat ista figura’, which precedes it		John Grimestone				Text
DIMEV 2081	How how mine heart open the gate of thought		envoys; love lyrics	— eight-line — ababbcbc	"‘A feithfull kynde maystres’, translated from the French of Charles d’Orléans (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 82) — three 8-line stanzas (ababbcbc) and 4-line Envoy"		Charles d’Orléans		‘A feithfull kynde maystres’		Text
DIMEV 2082	How hurtful is the thing	Following 2657.	advice, moral; tongue, destructive power of	— two-line — aa	Two moralizing couplets on Evil Tongue						Text
DIMEV 2083	How is it how have ye forgotten me		lover’s plea	— six-line, four-line — aaaaaa, abab	"Lady, have pity on me, a carole translated from the French of Charles d’Orléans (Champollion-Figeac (1842)
XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 251) — 25 lines in stanzas of varying lengths"		Charles d’Orléans		Lady, have pity on me		Text
DIMEV 2084	How mankind doth begin / Is wonder for to scrive so	’The Myrrour of Mankind’	ages of man’s life	— eight-line — abababab	’The Myrrour of Mankind’ — eighty-two 8-line stanzas (abababab)						Text
DIMEV 2085	How mankind first began	For a translation of the ‘text’ see 80.	sermons, verse in; instruction; original sin; redemption	— two-line — aa	Two couplets in a Latin homily on ‘Audi filia et vide’ (Ps. XLIV. 11) with refrain ‘My doȝter my derlyng, Herkne my lore yse my thechyng’						Text
DIMEV 2086	How shall a man in peace abide		transitoriness, of world; precepts	— two-line — aa	W. Hichecoke, ‘This Worlde is but a Vanyte’ — twenty-five couplets		W. Hichecoke		‘This Worlde is but a Vanyte’		Text
DIMEV 2087	How short a feast it is the joy of all this world	"See Whiting (1968)
XWhiting, Bartlett Jere. Proverbs, Sentences, and Proverbial Phrases from English Writings Mainly before 1500. Cambridge, MA: Belknap, 1968, W671 (not noting this example); cf. 266, 6793."	transitoriness, of world; translations	— two-line — aa	The fruits of worldly joys — four lines translating ‘Quam breue festum est hec mundi gaudia’ which precedes them in John Grimestone’s preaching notebook		John Grimestone				Text
DIMEV 2088	How should I but I thought on my ending day	For a variant see 2098.	carols, of mortality; mortality	— six-line — aaaabb	A song of admonition — five 6-line stanzas (aaaabb) and burden: ‘Thynk we on our endyng I red I red I red / Thynk we on our endyng I red or we [gon]’						Text
DIMEV 2089	How should I now thou fair may fall upon a sleep		carols, lullaby; Virgin Mary, dialogue, with Christ; dialogues, Virgin and Christ	— twelve-line, four-line — ababababcdcd	Dialogue between the Virgin Mary and her Child — four 12-line stanzas with refrain, ‘It is my fader wyll’ and 4-line burden: ‘Lullay lullay my lityl chyld / Slepe & be now styll / If thou be a lytill chyld / Yitt may thou haue thi wyll’						Text
DIMEV 2090	How should I rule me or in what wise		advice, spiritual	— five-line — aabab	William Dunbar, ‘How sall I governe me’ — ten 5-line stanzas with this refrain ‘lord god how sould I governe me’		William Dunbar		‘How sall I governe me’		Text
DIMEV 2091	How should I with that old man	"Utley (1944)
XUtley, Francis Lee. The Crooked Rib.
Ohio State Contributions in Language and Literature 10. Columbus, OH: Ohio State UP, 1944, 18."	carols; love lyrics; women, as speakers/narrators	— five-line — aabba	"A fragment of a love song, reconstructed as the first English carol — perhaps one 5-line stanza (aabba) (cf. Greene (1952)
XGreene, Richard Leighton. “‘The Maid of the Moor’ in the Red Book of Ossory.” Speculum 27 (1952): 504-6, 506) and burden: ‘Alas hou shold y synge / Yloren is my playnge’"						Text
DIMEV 2092	How slyly the death shall robben them		sermons, verse in; death	— four-line — aaaa	Death and the man without ‘counsel’, in a Latin sermon, in die natali domini — four monorhyming lines						Text
DIMEV 2093	How that Abel sometime had a double corn		purity	— ten-line — abcbccddef	Abel and Eli as types of purity — ten lines (abcbccddef)						Text
DIMEV 2094	How the crown must be kept from covetous people	See 503 for the companion piece, Richard the Redeless.	contemporary conditions; Richard II, deposition of; national policy, discussions of; alliterative unrhymed		Mum and the Sothsegger — alliterative lines				Mum and the Sothsegger		Text
DIMEV 2095	How the time that is past hath been spended		transience; mortality; mutability; temporality	— three-line — aab	On transience and mutability — three lines						Text
DIMEV 2096	How thy fairness is bespit		Christ, sufferings of	— monorhyme — aaa	Three monorhyming lines on the Sufferings of Christ						Text
DIMEV 2097	I always search and never find		riddles; time	— five-line — abacc	A Riddle poem about time — five lines, abacc						Text
DIMEV 2098	I am a child and born full bare / And bare out of this world shall fare	For a variant see 2088.	carols, of mortality; death, approach of	— four-line — aaab	‘When I think on my Ending Day’ — four quatrains (aaab) and burden: ‘I drukke I dare so wil I may / Quan I thynke on myn endyng day’				‘When I think on my Ending Day’		Text
DIMEV 2099	I am a fool I can no good		love, feigned; love, vicissitudes of; transitoriness, of earthly love	— two-line — aa, abab	‘Amor fatuus’ — eight lines, rhyming couplets and a quatrain, abab.						Text
DIMEV 2100	I am a hart I am no hare		riddles	— two-line — aa	Riddle of the hart and hare — four couplets						Text
DIMEV 2101	I am a woman I may be bold	Cf. 2145.	women, as speakers/narrators; women, satire directed against; love, carnal, evils of	— two-line — aa	A wanton’s desires — five couplets and a 10-line heading, abbreviated in repetition as pseudo-burden						Text
DIMEV 2102	I am a worm and no man		sermons, verse in; scripture texts, Engl. trans. of	— two-line — aa	A couplet in a Latin sermon, translating Psalm 22:6						Text
DIMEV 2103	I am afeared lo what I see		mortality; illustrations, verse accompanying	— monorhyme — aaaa	"Four English monorhyming lines serving as the titulus to an illustration in a French prose text of ‘les trois vivants et les trois morts’ (See Glixelli (1914)
XGlixelli, Stéfan. Les cinq poèmes des Trois Morts et des Trois Vifs. Paris: Champion, 1914, pl. 1 etc.)"				‘les trois vivants et les trois morts’		Text
DIMEV 2104	I am Alexander that conquered to Paradise gate	Cf. 544.	Worthies, Nine	— four-line — abab	The Nine Worthies, in hand of Richard Kaye (sixteenth century) — eight long quatrains		Richard Kaye		The Nine Worthies		Text
DIMEV 2105	I am as I am and so I will be	"Cf. Utley (1945)
XUtley, Francis Lee. “Wyatt as a Scottish Poet.” Modern Language Notes 60 (1945): 106-11, 106-10."	carols, amorous; love, vicissitudes of	— four-line — aaaa	The rebellious lover, attributed to Sir Thomas Wyatt — 10 monorhyming quatrains	Latin	Thomas Wyatt	attributed			Text
DIMEV 2106	I am beginning and end that made each creature	Formerly 1270.4.	Arthur, prince of Wales; Catherine of Aragon; pageant verses; occasional verse	— seven-line — ababbcc	Speech of the Father of Heaven at the Pageant celebrating the marriage of Prince Arthur to Princess Catherine — four stanzas rhyme royal						Text
DIMEV 2107	I am beguiled of a wight that works me woe		laments; lover’s lament; women, faithlessness of; love, unrequited	— six-line — aaaabb	Lament of the rejected lover — 37 lines in 6-line stanzas with an ‘O’ and ‘I’ refrain						Text
DIMEV 2108	I am bliss of mickle light		Christ, address to humankind	— two-line — aa	‘De Gloria Eterna’ — one couplet in John Grimestone’s sermon notebook		John Grimestone				Text
DIMEV 2109	I am called Childhood in play is all my mind		pageants; inscriptions	— seven-line — ababbcc	Thomas More, Tapestry verses, c. 1503 — 8 stanzas rhyme royal and 12 lines in Latin		Thomas More				Text
DIMEV 2110	I am coming toward your bride	Cf. 831, 2226, 2310.	marriage, festal verses for	— irregular — aa	A ‘sotelty’ for a bridal feast — three irregular lines						Text
DIMEV 2111	I am despised as man forsake		translations; illustrations, verse accompanying; sinner, lament of	— two-line — aa	Lament of a sinner — five couplets translating Latin hexameters which appear on an imago humilis						Text
DIMEV 2112	I am diseased and all forshend		sermons, verse in	— two-line — aa	A single couplet in a Latin homily for Good Friday						Text
DIMEV 2113	I am elder than I was of winter and of lore		advice, moral	— two-line — aa	‘Poema Morale’ — 398 lines in couplets				‘Poema Morale’		Text
DIMEV 2114	I am fell and mercy have none		death; sermons, verse in	— two-line — aa	Death’s warnings to man — three couplets separated by Latin prose in Sermones 13						Text
DIMEV 2115	I am gracious and great God withouten beginning	"Ringler Jr. (1992)
XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler notes ten stanzas added to end, TM 60."	mystery plays		The York Plays — in various stanzaic patterns including 6-line stanzas (aaabab).				The York Plays		Text
DIMEV 2116	I am he that hath you daily served	Following 286.	lovers, addresses to beloved		Fragment of a love song — four lines						Text
DIMEV 2117	I am he that will not flee		charity; mercy, works of; translations	— two-line — aa	English couplet translating ‘Ego sum illy quy non youlte fugere da mychi bacoulum par carytatye’						Text
DIMEV 2118	I am Honour whom folk of every degree		Arthur, prince of Wales; Catherine of Aragon; pageant verses; occasional verse	— occasional verse — ababbcc	‘The speche of Honour’ at the Pageant celebrating the marriage between Prince Arthur and Princess Catharine — four stanzas rhyme royal						Text
DIMEV 2119	I am Jesu that come to fight		Christ, attributes of	— four-line — abab	Jesus, Man’s Champion — two quatrains						Text
DIMEV 2120	I am Mayus that is both young and sheen		illustrations, verse accompanying	— two-line — aa	English couplets on illustrations of the months of the year						Text
DIMEV 2121	I am Mercury the mighty Flos Florum	"Part of this poem occurs as part (ch. 36 seqq.) of the Liber
Patris Sapientiae, in Ashmole (1652)
XAshmole, Elias. Theatrum Chemicum Britannicum. London: J. Grimond, 1652, 194-209."	alchemy	— two-line — aa	Sapientia Patris — in couplets	Latin			Sapientia Patris		Text
DIMEV 2122	I am Michael of Arras		transitoriness, of life; mortality	— two-line — aa	A couplet tag						Text
DIMEV 2123	I am not for this thing tho		sermons, verse in	— alliterative	On man’s mortality(?)						Text
DIMEV 2124	I am not he that you would fain see		riddles	— two-line — aa	A riddle — two couplets						Text
DIMEV 2125	I am not unkind to love as I find		love lyrics		One line of a love lyric added to flyleaf of a Psalter						Text
DIMEV 2126	I am now in prison		laments; prison/prisoners		The prisoner’s lament — four short lines						Text
DIMEV 2127	I am old when age doth appeal		marriage, trials of	— eight-line — ababbcbc	The trials of old men in love — one 8-line stanza						Text
DIMEV 2128	I am Rose woe is me	Latin incomplete due to cropping.	women, as speakers/narrators; laments	— four-line — aabb	A woman’s lament — four short lines translating Latin version preceding, heu iii qui rosa…						Text
DIMEV 2129	I am sore astoned when I remember me		translations; dialogues	— eight-line — ababbcbc	A verse translation of the Proem and Book 1 of Petrarch’s Secretum — 8-line stanzas (ababbbc)		Francesco Petrarch		Secretum		Text
DIMEV 2130	I am sorry for her sake	For a similar burden cf. 371.	carols, amorous; lover’s lament	— four-line — abab	A Lover’s sad plight — three quatrains (abab) and 4-line burden: ‘Care away, away, away / Murnynge away / Y am forsake another ys take / No more murne yc may’						Text
DIMEV 2131	I am that one I would all wist		poverty	— two-line — aa	On Nought — six couplets						Text
DIMEV 2132	I am walked in a way		death	— two-line — aa	Daily reminder of death — one couplet						Text
DIMEV 2133	I am wedder		poverty; translations	— four-line — aaaa	Words of the ‘weddere’ — four monorhyming lines translating ‘Ego sum ille cui aliqua nubet…’ which follows						Text
DIMEV 2134	I ask this soul for to win		Virgin Mary, aid to salvation; Virgin Mary, miracles of	— two-line — aa	Verses in a Latin miraculum beatae Mariae — sixteen lines in couplets, interspersed in Latin prose						Text
DIMEV 2135	I asked Philosophy how I should		impossibilities; dialogues	— two-line — aa	Three impossibilities — 5 couplets						Text
DIMEV 2136	I believe in God Father in heaven		Creed, apostles’	— two-line — aa	The Creed — twenty couplets						Text
DIMEV 2137	I believe in God the Father almighty	See also 2297.	Creed, apostles’	— seven-line — babbcc	The Creed — two stanzas rhyme royal						Text
DIMEV 2138	I believe on God in persons three		Creed, apostles᾿	— seven-line — ababbcc	The Creed — five stanzas rhyme royal						Text
DIMEV 2139	I believe that Christ was born of Mary the Virgin		Creed, apostles’	— eight-line — ababbcbc	A macaronic paraphrase of the Creed — eleven 8-line stanzas						Text
DIMEV 2140	I beseech all people far and near	Cf. 1940.	epitaphs; inscriptions; Amys, Thomas, of Barton (Norf.)	— eight-line — abababab	An epitaph, A.D. 1445 — eight lines						Text
DIMEV 2141	I beseech the Holy Ghost this place that here is set		charms; thieves	— two-line — aa	Charm/prayer against thieves — four lines						Text
DIMEV 2142	I beshrew you by my fay		women, as speakers/narrators; love, vicissitudes of; dialogues, lovers’	— seven-line — aaaaabb	‘Mannerly Margery’ by Skelton — four 7-line stanzas (aaaaabb)		John Skelton				Text
DIMEV 2143	I betake the Holy Ghost this place here I-set	Cf. 6013.	charms; thieves, charms against	— two-line — aa	A charm against thieves — 16 lines, in couplets						Text
DIMEV 2144	I boast and brag ay with the best	For MSS with an introductory couplet see 6643.	sins, deadly	— four-line — aabb	The Seven Deadly Sins in the Speculum Christiani (Quarta Tabula) — seven quatrains				Speculum Christiani (Quarta Tabula)	Oxford, Corpus Christi College 155, f. 161-164v: see 6643; Cambridge UK, Jesus College Q.G.3 (51), ff. 12-14: see 6643; Cambridge UK, Pembroke College 285, ff. 13-15v: see 6643.	Text
DIMEV 2145	I can be wanton and if I will	Cf. 2101.	women, as speakers/narrators	— four-line — abab	I can be wanton — six cross-rhyming quatrains						Text
DIMEV 2146	I can find no man now that will inquire	From Peter Idley’s Instruction (2594), II. A. 2197-2210.	marriage, against	— seven-line — rhyme royal	Two 7-line stanzas against marriage		Peter Idley		Instruction		Text
DIMEV 2147	I can not half the woe complain		Isabelle, countess of Warwick; Despenser, lady; virelais		‘Balade made of Isabelle, Countasse of War[rewyk] and Lady Despenser, by Richard Beauchamp, Eorlle of Warrewyk’ — a virelai, sixty-one lines		Richard Beauchamp, earl of Warwick		‘Balade made of Isabelle, Countasse of War[rewyk] and Lady Despenser, by Richard Beauchamp, Eorlle of Warrewyk’		Text
DIMEV 2148	I can not know a A fro a B		complaints; schools/scholars; schoolboys	— two-line — aa	Complaint of the illiterate against his teacher — one couplet						Text
DIMEV 2149	I cannot stay my hasty pen		lover’s lament	— four-line — abab	The lost Rose, a lover’s lament, c. 1550 — nine quatrains (abab) lacking opening words						Text
