Id	First Line	Description	Title(s)	Author(s)	Subject(s)	Versification	Note
DIMEV 468	An aged man twice forty years	Walter Kennedy, ‘Ane Aigit Manis Invective against Mouþ þankless’ — seven 8-line stanzas, ababbcbc, including refr. phrase, ‘…mowth thankless’	 ‘Ane Aigit Manis Invective against Mouþ	Walter Kennedy	speech	— eight-line — ababbcbc	
DIMEV 469	An angel bright / Came down with light / A message for to do	James Ryman (?), A carol of the Annunciation — thirteen 6-line stanzas (aabaab) and 4-line burden (cdcd), or 4-line stanzas with leonine rhyme in odd-numbered lines (as it is written in MS); burden: ‘Thys ys fulle tru þis ys fulle tru / Who can sey Nay to thys / Mary ys modere of Ihesu / And god hys fadere ys’		James (?) Ryman	Virgin Mary, Annunication to; carols, Annunciation	— six-line, four-line — abab, aabaab, aabaac	For a variant text see 3980.
DIMEV 470	An angel came unto that maid	James Ryman (?), A carol of the Annunciation — six cross-rhymed quatrains (abab) and two-line burden with medial rhyme: ‘Mary so myld scripture seyeth þus / Hath borne a chyld namyd Ihesus’		James Ryman (?)	Virgin Mary, Annunciation to; carols, Annunciation	— four-line, two-line — aa, abab	
DIMEV 471	An angel came with full great light	James Ryman, A carol of the Annunciation — four cross-rhymed quatrains (abab) and four-line burden: ‘I bryng tydyngys thatte be fulle tru / Who can sey nay to thys / Mary is moder of Ihesu / And god ys ffader ys’		James Ryman	Virgin Mary, Annunciation to; carols, Annunciation	— four-line — abab	
DIMEV 472	An angel fro heaven gan light	A song of the Knot of the Trinity — five quatrains and two-line burden: ‘Off al the knottes that I se / I prese the knot in Trinite’			Trinity; carols	— four-line, two-line — aaab, aa	
DIMEV 473	An angel said to that maid so free	James Ryman (?), A carol of the Annunciation — eight quatrains (aaab) and three-line burden (ccb): ‘Mary so mylde so meke so fre / Hath borne a chylde of hyghe degre / And his name ys Ihesus’		James Ryman (?)	Virgin Mary, Annunciation to; carols, Annunciation	— four-line, three-line — aab, aaab	For a variant text see 475.
DIMEV 474	An angel she sent to him anon	The clerk blinded by the glory of the Virgin Mary — 200 lines in 12-line stanzas, ababababcdcd			Virgin Mary, miracles of	— twelve-line — ababababcdcd	Cf. another version in Mirk’s Festial: Erbe (1905) XErbe, Theodore. Mirk’s Festial. EETS e.s. 96 (1905); repr. 1987, 234.
DIMEV 475	An angel that was fair and bright	James Ryman (?), A carol of the Annunciation — nine quatrains (aaab) and two-line burden (bb): ‘Heyle mary meyden meke and mylde / Thou shalte conceyue and bere a chylde’		James Ryman (?)	Virgin Mary, Annunciation to; carols, Annunciation	— four-line, two-line — aa, aaab	For a variant of this song see 473.
DIMEV 476	An archbishop beyond the sea / was woning in a faire city	The Archbishop and the Nun, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle ; Archbishop and the Nun		nuns; exempla	— two-line — aa	
DIMEV 477	An doly season to an careful ditty	Robert Henryson, The Testament of Cresseid — eighty-six stanzas rhyme royal, with Complaint in seven 9-line stanzas	 The Testament of Cresseid	Robert Henryson	Troilus and Criseyde, story of	— seven-line, nine-line — ababbcc, aabaabbab	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 165; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 156.9.
DIMEV 478	An eagle shall rise with a boar bold	A political prophecy — forty-five irregular rhyming lines			prophecy, political	— irregular	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 146.
DIMEV 479	An Emperor was once in Rome / That was righteous in his doom	Gregory and Trajan’s soul, followed by the story of Alexander and the imprisoned Jews, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		Gregory, saint; Jews; Alexander, king; Trajan, emperor; exempla	— two-line — aa	
DIMEV 480	An end of this book or of this rude work	Conclusion to Part VII of Fabyan’s Chronicle, Septima Pars, Henrici Septimi — four stanzas rhyme royal			chronicles, verse in; epilogues, to prose texts	— seven-line — ababbcc	Formerly included under 6322.
DIMEV 481	An evil favored and a foul black wife	A description of Marcolphus’s wife Polycena, tr. from the Latin — two couplets			Polycena, wife of Marcolphus	— two-line — aa	
DIMEV 482	An exposition I do make here	An exposition of the alchemical text, ‘Earth earthes brother’ (5095) — 66 lines in couplets			alchemy	— two-line — aa	
DIMEV 483	An hare in his form is shuddering	Terms of venery regarding denning of animals — varying numbers of lines with varying numbers of monorhyming short lines			hunting	— irregular — aaa	
DIMEV 484	An hart if he chased he will desire to a river	On a hart crossing a river or stream as it flees the hunter — varying number of lines, in strings of roughly monorhyming short lines			hunting; irregular	— aaaa	
DIMEV 485	An herd of harts	Terms of venery regarding groupings of animals — varying number of lines in blank verse or rough and irregular rhyme			hunting	— irregular — aa	
DIMEV 486	An hermit as here written is	The Hermit and the Angel, in the ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle; The Hermit and the Angel		exempla	— two-line — aa	For the usual text see 2465.
DIMEV 487	An hermit woned in a wastern	The Hermit and the Thieves, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle; The Hermit and the Thieves		thieves; exempla	— two-line — aa	Cf. Furnivall (1901) XFurnivall, Frederick James. Robert of Brunne’s Handlyng Synne [and its French original] EETS o.s. 119, 123 (1901, 1903); repr. 1973, 1.198-9.
DIMEV 488	An Hermit woned in the wilderness / That proved his disciple buxomness	The Obedient Servant, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle ; Obedient Servant		exempla	— two-line — aa	
DIMEV 489	An holy man at preaching sat / And thought that sermon wonder sweet	The Devil in Church, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle ; Devil in Church		Satan; exempla	— two-line — aa	
DIMEV 490	An holy man was parish priest / And loved a friend that woned him next	The Adulterous Parish Priest, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle ; Adulterous Parish Priest		adultery, tales of; clergy, sins of; penitence; confession; exempla	— two-line — aa	
DIMEV 491	An holy prayer here begins	John Audelay, An orison of the Wounds and the ‘Arms of Christ’ — twenty-three 6-line stanzas		John Audelay	Christ, wounds of; Christ, ‘arms’ of	— six-line — aabccb	Stanzas 4-10 = stanzas 1-7 of 2838.
DIMEV 492	An hot winter a tempestly summer	Prognostications for the coming year based on the Dominical Letter — nineteen couplets			prognostications; weather; calendars	— two-line — aa	
DIMEV 493	An leam            is in the world I-lit	On the Resurrection — twelve 10-line stanzas			Christ, burial and Resurrection	— ten-line — ababccddcd	
DIMEV 494	An moorlands man of uplands make	William Dunbar, ‘Tydingis fra the sessioun’ — eight seven-line stanzas	 ‘Tydingis fra the sessioun’	William Dunbar	Edinburgh, Session at; gossip	— seven-line — aabbcbc	
DIMEV 495	An old sad saw unknown uncast	Cast not away thine Old for New — four 5-line stanzas (aaabb) including refrain, ‘…elles most we drynk as we brew’, and burden (aa): ‘An old sawe hath be fownd trewe…’			advice, moral; carols, of moral counsel	— five-line, two-line — aaabb, aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 150.
DIMEV 496	An old wife and an empty cup / There is no mirth in either	Trials of marrying either an old or a young wife — two cross-rhymed stanza			women, against; marriage, trials of	— four-line — abab	Formerly 3533.5.
DIMEV 497	An open showing of Christs lordship worthiness	A verse tag in a collection of sermons by John Waldeby — three monorhyming lines		John Waldeby	sermons, verse in	— three-line — aaa	
DIMEV 498	An priest was on leoden	Laȝamon’s Brut — in rhyming alliterative lines	 Brut	Laȝamon	chronicles	— alliteration	
DIMEV 499	An whole precious offering	On the benefit of giving offering for the sake of man’s soul, in a Latin prose sermon — one monorhyming quatrain			sermons, verse in; almsgiving	— four-line — aaaa	
DIMEV 500	And a woman of haunting mood	‘Disputacio inter Clericum et Philomenam’ — 85 lines in 20 quatrains plus two remnants	 ‘Disputacio inter Clericum et Philomenam’		debates; dialogues; birds, as speakers/narrators	— four-line — abab	Cf. 2451 which some say is the beginning of this work.
DIMEV 501	And all the tother that were their purse	One leaf of a poem on King Arthur, possibly a version of the Morte d’Arthur, containing the victory of the Britons over the Roman			Arthurian literature		
DIMEV 502	And as for you that most are in my mind	A Balade addressed to the beloved — four rhyme royal stanzas		William de la Pole (?)	ballads; love lyrics; lovers, addresses to beloved	— seven-line — ababbcc	
DIMEV 503	And as I passed in my prayer there priests were at mass	Richard the Redeless — alliterative lines	 Richard the Redeless		contemporary conditions; Richard II, deposition of; national policy, discussions of; alliterative unrhymed		See 2094 for the companion piece, Mum and the Sothsegger.
DIMEV 504	And as the turtle by contemplacion	Fragment of a poem about longing for eternal life — four lines			fragments; heaven, joys of; birds		
DIMEV 505	And as Thy word came on this wise	A prayer on the Words of Christ from the Cross — nine 6-line stanzas			prayers; Christ, Passion of; Christ, address to Virgin Mary	— six-line — aabccb	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 151.
DIMEV 506	Alas to whom shall I complain	A lover’s complaint — two stanzas rhyme royal			complaints; lover’s lament	— seven-line — ababbcc	See also 300, 301.
DIMEV 507	And Diomedes birds they were / Called thereafter	The Scottish Troy Fragments (A and B) — in couplets	 Troy Book; Troy fragments (Scottish)		Troy, tales of	— two-line — aa	Inserted in two MSS of Lydgate’s Troy Book, 3995.
DIMEV 508	And ended my complaint in this manner	Thomas Hoccleve, ‘Dialogus cum Amico’ — 118 rhyme royal stanzas	 ‘Dialogus cum Amico’	Thomas Hoccleve	dialogues; mutability, of world; frames, literary; madness; death, approach of; money	— seven-line — ababbcc	
DIMEV 509	And ever the higher that thow art	One couplet introducing a series of proverbs in one MS, with a concluding couplet			proverbs	— two-line — aa	See 553.
DIMEV 510	And fetched his fellow there as he lay his store	Lines 2159-2294 of Geoffrey Chaucer’s Summoner’s Tale (3255) of the Canterbury Tales, rearranged in this MS as part of the restructuring of the work to produce a round-trip journey.	 Summoner’s Tale; ‘Dividing of a fart into twelve’; Canterbury Tales	Geoffrey Chaucer	summoners; farts, division of; revenge	— couplets — aa	
DIMEV 511	And for grace and help that is needful to you and to me	Request for readers to pray for grace — one couplet			prayer, value of; colophon	— two-line — aa	
DIMEV 512	And for sweet smell at thy nose stink shall thou find	Against fashionable ladies with trailing gowns, in Fordun’s Scotichronicon (Bk XIV, Cap. xxx) — three couplets	 Scotichronicon	John de Fordun	clothing, against extremes of; chronicles, verse in	— two-line — aa	
DIMEV 513	And God before the grief and great ennoy	His Shining Mistress, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 99) — three 8-line stanzas and 4-line Envoy	 His Shining Mistress	Charles d’Orléans	love lyrics; envoys	— eight-line, four-line — ababbcbc, abab	
DIMEV 514	And he that sweareth till no man trust him	Don’t cry Wolf! — one monorhyming quatrain			precepts	— four-line, monorhyme — aaaa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 152.
DIMEV 515	And here an end of Troilus heaviness	Wynkyn de Worde’s Epilogue to Troilus and Criseyde			epilogues		Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 153.
DIMEV 516	And his eyen waxeth dim	Signs of death — six lines in a Latin funeral sermon			sermons, verse in; death, signs of	— two-line — aa	Cf. 6383, 6439, 6462, etc.
DIMEV 517	And his father of wife wit nought	The Life of St Agnes in the Scottish Legendary — in couplets	 Scottish Legendary		Agnes, saint, life of; saints’ lives	— two-line — aa	
DIMEV 518	And I am soaked in my sin	Lament of the sinner in Rolle’s English Psalter (Ps. 3) — one couplet	 English Psalter	Richard Rolle	sinner, lament of	— two-line — aa	For further MSS see Allen (1931) XAllen, Hope Emily. English Writings of Richard Rolle. Oxford: Clarendon, 1931, 170-7.
DIMEV 519	And I it lose and you it find	A Book Plate — two couplets			book plates	— two-line — aa	See 2368: apparently this was of common occurrence in the fifteenth century.
DIMEV 520	And I were a maiden / As many one is	A girl’s progress in love — three quatrains			women, as speakers/narrators; love, vicissitudes of; laments; advice, moral	— four-line — abab	For these and later MS copy, see Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 154; Thersites, pr. Dodsley, ed. Hazlitt (1877) XHazlitt, William Carew. Select Collection of Old English Plays. 15 vols. 4th ed. London: Reeves and Turner, 1874, 1877; orig. ed. Robert Dodsley , 1.405; for this tune indicated for a nativity carol, see 5074.
DIMEV 521	And if thou wist what thing it were	Alphabetical sequence of aphorisms — twenty-three quatrains (aabb)			aphorisms	— four-line — aabb	
DIMEV 522	And if ye command me to keep me true wherever I go	A love letter by Margery Brews to John Paston, 1477 — one 6-line stanza (three couplets), with preceding couplet		Margery Brews	love letters; Paston, John	— six-line, two-line — aa	See Davis (1971) XDavis, Norman. The Paston Letters and Papers of the Fifteenth Century. 2 vols. Oxford: Clarendon, 1971, 1976, No. 783.
DIMEV 523	And in this fair way perceive I well a thing	The Talis of the Fyve Bestes — 422 lines in couplets	 The Talis of the Fyve Bestes		fables, beast	— two-line — aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 159.
DIMEV 524	And lived in deadly sin	Owayne Miles, a version of St. Patrick’s Purgatory — in 6-line tail-rhyme stanzas	 Owayne Miles; St. Patrick’s Purrgatory		Patrick, saint; saints’ lives; visions, of the afterlife	— six-line — aabccb	Cf. 1607 and 2921; for the South English Legendary version, see 4742.
DIMEV 525	And love thy God over all thing	John Audelay, A song of the Decalogue — five 5-line stanzas (ababc) including ‘Leue ye me’ refrain and burden (cc): ‘A mon yif thou wold sauyd be / Foresake thi syn or hit do the’		John Audelay	Ten Commandments	— five-line, two-line — ababc, aa	
DIMEV 526	And Martha kept swith well	Life of St Mary Madgalene — in couplets			Mary Magdalen, saint, life of; saints’ lives	— two-line — aa	
DIMEV 527	And now and ye willen dwell	One couplet introducing a prose herbal; with other couplets throughout, sometimes used as rubrics			herbals	— two-line — aa	
DIMEV 528	And of this seed that Satan sawes / A good tale	The Devil as Physician, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle ; Devil as Physician		Satan; physicians	— two-line — aa	
DIMEV 529	And our Lord went out of the temple in hidels alone	A fragment from the South English Legendary — ten lines	 South English Legendary		Christ, life of	— two-line — aa	
DIMEV 530	And said I dread no threat	The Jeaste of Syr Gawayne — 541 lines in 6-line stanzas	 The Jeaste of Syr Gawayne		romances; Gawaine, stories of	— six-line — aabccb	Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 155.
DIMEV 531	And said lo Adam is one of us	The Life of Adam and Eve, two insertions in one manuscript of the Old Testament History (6345) — 528 lines in couplets			Adam and Eve, life of	— two-line — aa	Probably extracts of a longer work; see Pickering (1973) XPickering, Oliver S. “The Temporale Narratives of the South English Legendary.” Anglia 91 (1973): 425-55, 433. For a prose version, derived from the same Latin original, see Horstmann (1878) XHorstmann, Carl. Sammlung altenglischer Legenden. Heilbronn: Henninger, 1878, 103-18.
DIMEV 532	And save this flower which is our king	A song for victory in France, A.D. 1492 — five irregular quatrains and burden: ‘Te Rosse wolle into frawnse spryng / Almythy god hym thyder bryng’			France, war in (1492); historical verse; occasional verse	— four-line — irregular	
DIMEV 533	And since I have told you here	The Life of St Eugenia, in the Scottish Legendary — in couplets	 Scottish Legendary		Eugenia, saint, life of; saints’ lives	— two-line — aa	
DIMEV 534	And since something is sad here	The Life of St Paul, in the Scottish Legendary — in couplets	 Scottish Legendary		Paul, saint, life of; saints’ lives	— two-line — aa	
DIMEV 535	And sixty yen[?] barons full bold shall be brittened to death	A political prophecy — forty-five alliterative lines			prophecy, political	— alliterative unrhymed	
DIMEV 536	And so be now that I my purpose lose	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 39) — 14 lines		Charles d’Orléans	roundel; lover’s lament	— fourteen-line — abbaabababbaab	
DIMEV 537	And so betide a time that he	The Life of St Katherine in the Scottish Legendary — in couplets	 Scottish Legendary		Katherine of Alexandria, saint, life of; saints’ lives	— two-line — aa	
DIMEV 538	And so may men ken	Song against the Scots inserted in Peter Langtoft’s Chronicle — 5 Anglo-Norman and 2 Middle English stanzas; and in Robert Manning of Brunne — 7 variant stanzas	 Chronicle	Peter Langtoft	Scots, songs against; political poems	— six-line — aabccb	
DIMEV 539	And suffered for you wounds smart	Exhortation to worship by the Passion — ten couplets			Passion, exhortation to worship by; Virgin Mary, sorrows of	— two-line — aa	
DIMEV 540	And then the Apostles together went	‘How þe apostles made þe crede’ — forty short couplets	 ‘How þe apostles made þe crede’		Creed, apostles’	— two-line — aa	See 1200.
DIMEV 541	And there did…mekely for his love	An advertisement for Hailes Abbey, including four miracles associated with the Holy Blood of Hailes — thirty-six stanzas rhyme royal			Hailes (Gloucs.), Cistercian abbey; Christ, blood of; miracles	— seven-line — ababbcc	Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 156.3; and also see TP 1592.5; for another version see 4913.
DIMEV 542	And therefore ye lordings that lovedays will hold	An admonition to officers of justice at lovedays — 196 lines in quatrains and couplets, with a few passages in Latin			lovedays; advice, to magistrates	— four-line, two-line — abab, aa	Including a variant of 5722.
DIMEV 543	And think entirely on Christs passion	A meditation on the crucified Christ — three lines in Dives and Pauper			Christ, passion of	— three-line — aaa	
DIMEV 544	And thou wist what thing it were	An ABC poem on morals and manners — 82 lines in doggerel couplets in hand of Richard Kaye (sixteenth century)		Richard Kaye	alphabetic poems; advice, moral; manners	— two-line — aa	Cf. 2104; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 162.
DIMEV 545	And thus may you hear	Popular verses on Wallace inserted in Peter Langtoft’s Chronicle — one 6-line stanza, or in Robert Mannyng of Brunne’s — three stanzas	 Chronicle	Peter Langtoft	Wallace, William; popular verses; chronicles, verse in	— six-line — aabccb	
DIMEV 546	And to this woman that died in dolour	Tribute to Mary in a sermon — one couplet			sermons, verse in; Virgin Mary	— two-line — aa	
DIMEV 547	And took me	On God’s mercy in accepting us into heaven, in a Latin sermon — six monorhyming lines			sermons, verse in; God, mercy of	— six-line — aaaa	
DIMEV 548	And we find written of an hermit / That lived long without wit	The Hermit who returned to the World, in the Northern Homily Cycle — in couplets	 Northern Homily Cycle		exempla	— two-line — aa	
DIMEV 549	And when Jesu Christ by His might / Ascended into heaven right	‘De assumpcione beate Marie’	 ‘De assumpcione beate Marie’		Virgin Mary, assumption of		
DIMEV 550	And when the angels thus had done / From the herds to heaven…	Gospel ‘In aurora diei natalis domini’, in the ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		Christ, birth of; sermon texts, Gospel	— two-line — aa	For the usual version see 245.
DIMEV 551	And when they had received her charge	‘Why I Can’t Be a Nun’ — in 8-line stanzas	 ‘Why I Can’t Be a Nun’		nuns, criticism/satire of	— eight-line — ababbcbc	
DIMEV 552	And with the noise of them two	Conclusion added to Chaucer’s incomplete House of Fame (1620) — six couplets	 House of Fame	William Caxton; Geoffrey Chaucer	epilogues; occasional verse	— two-line — aa	Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 156.7.
DIMEV 553	And ye will please god greatly / Use privy penance discretely	Good counsel, including precepts in -ly — varying number of lines, a triplet and couplets			precepts; aphorisms	— two-line, three-line — aa, aaa	For similar series of precepts see 560, 560, 4810, 4840.
DIMEV 554	And youth that yields new joys	A love poem — six 8-line stanzas			love lyrics	— eight-line	Cf. 458.
DIMEV 555	Anon tho the Emperor Constantine had his false gods forsake	Life of St Sylvester, in one MS of the South English Legendary — in couplets	 South English Legendary		Sylvester, saints, life of; saints’ lives	— two-line — aa	For the usual Life, quite distinct from this, see 4764.
DIMEV 556	Another day Saint John says us	Gospel ‘fferia va post dominicam terciam quadragesime’, in the ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		sermon texts, Gospel	— two-line — aa	
DIMEV 557	Another year it may betide	An Epiphany carol — three quatrains(aaab) and burden: ‘Who wot nowe þat ys here / Where he schall be anoder yere’			carols, New Year	— four-line, two-line — aaab, aa	
DIMEV 558	Ante ffinem termini	The song of the schoolboy at Christmas — seven Latin and English couplets			Christmastide; schoolboys	— two-line — aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 167.
DIMEV 559	Apply to the best gifts given to thee	Leconfield proverbs: ‘The counsell of Aristotell’ — thirty-four couplets	 ‘The counsell of Aristotell’		proverbs; inscriptions	— two-line — aa	Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 168.
DIMEV 560	Arise early / Serve god devoutly	Precepts in -ly; the texts show much variation — 16 lines in most witnesses, monorhyming			precepts	— sixteen-line — aaaaaaaaaaaaaaaa	This list includes versions beginning, ‘First…’ formerly listed separately as 799; see also 553, 976, 4810, 4840; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 170; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988TP 160.5.
DIMEV 561	As a clerk witnesseth of wisdom that can	The heart as master of the tongue — two couplets translating ‘Cor lingue capud est sicud uir femine…’ written to its left in John Grimestone’s sermon notes		John Grimestone	tongue, advice concerning use of	— two-line — aa	
DIMEV 562	As a ghost showing	Phrases describing the sound of angel’s voice prophesying to Elias of the coming of Christ, in a Latin sermon, ‘De corpore Cristi…’ — four monorhyming lines			angels; sermons, verse in; prophecies	— four-line — aaaa	
DIMEV 563	As a great doctor says till us	The Life of Placidas (St Eustace) in the Scottish Legendary — in couplets	 Scottish Legendary; The Life of Placidas		Eustace, saint, life of; saints’ lives	— two-line — aa	
DIMEV 564	As a man may slay himself with his own knife	Moral saying on the sin of lust — one couplet			advice, moral	— two-line — aa	
DIMEV 565	As a man rode fast by the way	‘The wordes of a good horse to his mayster’ — seven couplets, with rubric: ‘In illis diebus when horse coude speake’	 ‘The wordes of a good horse to his mayster’		horses	— two-line — aa	
DIMEV 566	As a master that them taught	Characteristics of christ in a Latin sermon ‘de ascensione domini’ — roughly two cross-rhymed quatrains			Christ, attributes of; Ascension, feast of; sermons, verse in	— four-line — abab	
DIMEV 567	As a sea flowing	Gloria mundi est — four lines in John Grimestone’s sermon notes		John Grimestone	Gloria mundi est; transitoriness, of world	— two-line — aa	Cf. 187.
DIMEV 568	As Aaron yard without moisture / Hath flourished…	James Ryman, Hymn in honour of the Virgin Mary — six stanzas (aaaabb) and a 4-line burden (ccdd): ‘There sprunge a yerde of Iesse moore / There was neuer none suche before / Ne none shalbe / This yerde was marie virgyne fre’		James Ryman	Virgin Mary, songs in honour of; hymns, to Virgin Mary	— six-line, four-line — aaaabb, aabb	
DIMEV 569	As by the purchase of mine eyen twain	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 40) — 14 lines		Charles d’Orléans	roundels; lovers, addresses to beloved	— fourteen-line — abbaabababbaab	
DIMEV 570	As Christ and his disciples dear / Went about in this world here	Gospel for Tenth Sunday after Trinity, in ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		sermon texts, Gospel	— two-line — aa	For the normal version see 2786.
DIMEV 571	As Christ and His disciples dear	Gospel for Friday following Seventh Sunday after Trinity, in the ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		sermons	— two-line — aa	
DIMEV 572	As Christ and his disciples dear	Gospel for Twenty-fourth Sunday after Trinity, in ‘expanded’ Northern Homily Cycle — in couplets	 Northern Homily Cycle		sermons	— two-line — aa	This version is a variant of 4722.
DIMEV 573	As diverse doctors hath writ of the virtue	The Virtues of the Mass — twenty-four rhyme royal stanzas with an Envoy of two stanzas rhyme royal and 2 heroic stanzas at the end	 The Virtues of the Mass		mass, virtues of; envoys	— seven-line — ababbcc	For a text without introductory Prologue see 6817.
DIMEV 574	As far as hope will in length	Prayer to Henry VI — two stanzas rhyme royal			Henry VI, prayer to; prayers, special occaisions	— seven-line — ababbcc	Cf. 3840.
DIMEV 575	As far as men ride or goon	Le Bone Florence of Rome, the romance of the Chaste Empress — 2189 lines in 12-line stanzas	 Le Bone Florence of Rome		romances; Florence of Rome, empress	— twelve-line — aabccbddbeeb	
DIMEV 576	As flowers in field thus passeth life	Epitaph, A.D. 1469, for Robert Dalusse — four lines			epitaphs; Dalusse, Robert, of London; inscriptions		
DIMEV 577	As for farewell farewell farewell farewell	Parting is grievous — three 8-line stanzas and 4-line Envoy		Charles d’Orléans	love lyrics; envoys	— eight-line, four-line — ababbcbc, abab	
DIMEV 578	As for the gift ye have unto me give	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 38) — 14 lines		Charles d’Orléans	roundels; lovers, addresses to beloved	— fourteen-line — abbaabababbaab	
DIMEV 579	As for your prayers in fame that is upbore	A roundel, translated from the French of Charles d’Orléans (Champollion-Figeac (1842) XChampollion-Figeac, Aime. Les Poesies du duc Charles d’Orleans. Paris, 1842, 39) — 14 lines		Charles d’Orléans	roundels; lovers, addresses to beloved	— fourteen-line — aaaaaaaaaaaaaa	
DIMEV 580	As free make I thee	Single couplet inscription, attributed to Athelstan		Athelstan (attrib.)	inscriptions	— two-line — aa	
DIMEV 581	As he that no thing may profit	A roundel — 14 lines		Charles d’Orléans	roundels; lovers’ lament	— fourteen-line — abbaabababbaab	
DIMEV 582	As here I am sent by Divine Providence	Moralizing verses for a pageant or mumming, spoken by Faith, Charity, Temperance, Justice, Force, Hope, and Prudence — seven 8-line stanzas			occasional verse; virtues	— eight-line	For emendations see Mabbott (1950) XMabbott, T. O. “The Text of the English Xylographic Poem on the Seven Virtues.” Modern Language Notes 65 (1950): 545, 545.
DIMEV 583	As Holy Church teacheth thee thine alms hide and lay	On the duty of Almsgiving — seven quatrains			almsgiving	— four-line — aaaa	For macaronic heading of six short lines: ‘Man with good…’, see 3392.
DIMEV 584	"No records were found. Use the ""IMEV Number"" search menu to find the sample records                            entered in this prototype version of the database."	close					
DIMEV 585	"No records were found. Use the ""IMEV Number"" search menu to find the sample records                            entered in this prototype version of the database."	close					
DIMEV 586	"No records were found. Use the ""IMEV Number"" search menu to find the sample records                            entered in this prototype version of the database."	close					
DIMEV 587	"No records were found. Use the ""IMEV Number"" search menu to find the sample records                            entered in this prototype version of the database."	close					
DIMEV 588	"No records were found. Use the ""IMEV Number"" search menu to find the sample records                            entered in this prototype version of the database."	close					
