CatalogNum	UUID	QUOTE_TRANSCRIPTION	Person	AuctionYear	Lot	PersonUUID
261	b3b4c850-d470-4f02-b9f7-b51f1f37910e	Huntington (VII, 1918, Lot 183)	Huntington	1918	183	190bdc49-d0b2-4140-bf11-2dc334b550ab
261	3afd6a1b-897d-443b-bbc1-d33277a66883	Clawson (I, 1926, Lot 193)	Clawson	1926	193	faf97458-9c1f-4e6a-bbf6-72b4f7675728
262	ebf00b8a-a5f4-4375-8236-728a28e28c84	Lefferts (Richmond List, p.85)	Lefferts			e37c232d-181c-49ea-8f26-958cb711be9c
262	41595845-65b8-4549-b6be-30f9aa634a62	Hoe  (II, 1912, Lot 958)	Hoe	1912	958	048f685a-3e8e-4c0e-ab1f-4399e883303d
262	2e4cd130-bf60-427f-980a-b010afac9740	Huntington (VII, 1918, Lot 188)	Huntington	1918	188	bfedef21-d30b-498b-b247-4b76de8fcfb8
263	437bb1e1-69ec-4312-8d3b-7c2aae3c05c7	Huth (II, rg12, Lot 2026)	Huth	1912	2026	3bd36e3c-58b9-4a0c-b8a1-8ce3a83910e0
264	490f715d-dc05-4971-bd1f-79813fcedbfb	Britwell (1922,  Lot 201)	Britwell	1922	201	ccb23c0f-65ee-4d1c-8120-f23477329fda
264	a3f2d79a-e4c5-4c67-8182-f74985ba4b4e	Clawson (1, 1926, Lot 206)	Clawson	1926	206	5a7b63fe-2f27-4257-acf3-744252c2fd3d
267	f397a924-2b58-492d-870a-36036a30e64c	Hoe (II, 1912, Lot 966)	Hoe	1912	966	f61dacf3-11e9-41a3-8436-4ba081ab23d1
267	0f4d59d3-8b3a-425f-83ab-166f884d694a	Huntington (V, 1917, Lot 137)	Huntington	1917	137	665b19df-64d8-40cc-8c86-ed0fd51641dc
267	45863772-eed2-47b6-b15b-f80aabbd870f	Chew (I, 1924, Lot 119)	Chew	1924	119	019cc14f-1645-4ad6-927f-a94687aa0bb6
268	8423370f-f998-48f2-afbf-6d40c2cdeb98	Mostyn (1919, Lot 89)	Mostyn	1919	89	c40b1771-0497-4ec3-a102-85f6e005c188
268	663c5b50-35c4-4532-8295-c43f35c13687	Clawson (I, 1926, Lot 217	Clawson	1926	217	9aa3bdfb-c0fd-4665-b61f-ece20e2c507e
269	85288c05-f229-48aa-935d-06a081f17865	John  Fitchett of Warrington	John Fitchett of Warrington	1838		
269	08aca0c6-79d0-4267-81fc-ee55deb949da	John Fitchett Marsh who disposed of his inheritance at  Sotheby’s in 1882 where the present (Lot 672)	J. Fitchett Marsh	1882	672	a3144e5a-f14f-402f-9793-7928f06d843d
269	de1ce5bd-063f-44d7-8b68-75e768083bb5	W.C. Hazlitt who evidently sold  it privately	W.C. Hazlitt			047389ca-2d9b-4463-be44-609abbef82ad
269	04ffdffa-ce4f-43af-87ed-4ddca855f580	Frederick Locker— Lampson. The Rowfant Library	Rowfant	1922	556	
27	2aeadaa4-9fbe-4d1d-a7ff-da3eb15987e6	The Brit-  well (1924, Lot 38)	Britwell	1924	38	934d2a24-6e7f-4bdb-b573-833828b4ce82
270	bececcf3-3fdb-44c0-90cc-9bfedf9d0130	Bridgewater	Bridgewater			
270	6b651491-6f09-41bf-ad9c-e59653e3a0c7	Huntington (VIL, 1918, Lot 195)	Huntington	1918	195	5025f77d-2a2d-464c-913d-3e882b822f3b
270	f042f3e9-c559-40c5-91a6-0020c8ed73d2	Jones  (1918, Lot 420)	Jones	1918	420	31cebe20-f74a-4e7b-84f5-bbd0228bde20
270	bb9f1e50-1b3d-4c8d-bbdd-5bc31303c399	Clawson (I, 1926, Lot 218)	Clawson	1926	218	5d205a15-2ce0-48b6-a5c3-1aec7fb1937c
271	4ce80388-e2e6-41b4-b6ee-490e8d80014b	Hoe (III, 1912, Lot 847)	Hoe	1912	847	57fe67ea-7e78-46c8-8158-e07ebfa69587
271	84cf17ca-bd98-4beb-9449-a311f0a7578e	Huntington (VII, 1918, Lot 207)	Huntington	1918	207	c9fd1d12-0299-43bd-952f-fedcf1b6273c
271	35c6814a-6ad6-4aff-8248-117649279681	Jones (1918, Lot 467)	Jones	1918	467	89fe88a9-43b8-4e38-be3a-afc94057332c
271	85409895-e3a9-4990-92aa-e0984434c396	Clawson (I, 1926, Lot 229)	Clawson	1926	229	92a863ee-ac6c-4423-bb05-39ecdebecc62
272	e0642bd7-3bfb-4de1-8b6a-41c1033317b3	Pigott (1847, Lot 100)	Pigott	1847	100	f9163102-d294-4f58-89e7-3ec6f0eb4697
272	e7bc6bf9-feba-455e-a7db-12396b60ac63	Britwell (1922, Lot 218)	Britwell	1922	218	884d0c71-472a-4462-9387-c5dc9a0c2803
273	68b5a376-1c09-4ade-ae14-2143933b5182	Clawson (1, 1918, Lot 238)	Clawson	1918	238	f7eacedd-6e18-4942-9373-492493b589eb
274	b33e15e2-39cd-4506-bb50-47a35d328b83	Titef (1874, Lot 871)	Titef	1874	871	f0a449f0-fd69-4f11-99ea-2ec7ec1f84f0
274	61ab234f-0a86-471d-b7c9-335427bb9a18	Huth (II, 1912,  Lot 2076)	Huth	1912	2076	acae6c14-d388-45ce-9fa1-85b088537d8e
274	b48db817-7775-49fd-8c7f-e48e3a69c6cc	Huntington (VII, 1918, Lot 208)	Huntington	1918	208	f1d0f82e-9968-4421-86b1-18b19f95aee0
274	59a8a30e-5333-406b-8b5e-1cbbf5e86828	Clawson (1, 1926, Lot 230)	Clawson	1926	230	a3c4b0df-af76-4b77-a742-a883fe6983f2
275	aa4bc3d2-60b3-462e-8c4f-3f610cb7e94f	John Duerdin (1884, Lot 195)	John Duerdin	1884	195	f36b5751-6e8e-46dc-be19-8930870077ca
275	cf5a6458-4f58-4387-bb6d-8983e580f66b	H.B.Forman (I, 1920, Lot 222	H.B.Forman	1920	222	c871a397-2a3a-4146-a29f-1bb4cf708d15
276	afbe9504-1889-47b0-9f98-dcd587a3e161	Hoe (III, 1912, Lot 854)	Hoe	1912	854	cc911c4a-6786-4d8d-8f15-2ed72ceec260
276	068057ce-bfe4-45ee-96a7-826a23690f12	Huntington (V, 1917, Lot 147)	Huntington	1917	147	2374daf2-cea0-4adf-8983-418f017e6bc1
276	87fa4111-02cc-44a4-bf80-a6e44f7e578f	Jones (I, 1918, Lot 471)	Jones	1918	471	6f163eb5-da7c-4c65-9dd4-88c7d19206c8
277	6b9e8dad-050c-46f3-b7c1-26b0605c7ca0	Locker	Locker			
278	69fbd157-5329-4183-99ea-ac8aabed94b0	Locker	Locker			
278	1cfeec48-a418-4758-ad3a-32c1d95c44d5	Huntington (V, 1917, Lot 144)	Huntington	1917	144	2fb6d8b3-1a2e-41dd-a059-0f43c7881449
278	fca5839b-a8d5-48f8-8cbc-37427820e05a	Jones (1918, Lot 469)	Jones	1918	469	dc349416-9928-418b-9f79-9388f157a626
279	9a6c10a6-2051-44a4-8e91-435400811534	Mitford (untraced in sale)	Mitford			
279	774b6c39-b530-4d34-903b-f170990bec31	Locker	Locker			
28	115d1224-6393-45e6-a7e5-a5d10ec14dac	The Jones (1918, Lot 61)	Jones	1918	61	8bd41568-1dc4-431c-9e24-d81715be8dd4
280	d718f5fc-571c-40fd-bfa3-97f3000cf1f4	Heber (XII, 1836,  Lot 376)	Heber	1836	376	bfd5ed90-52c8-4885-86ab-640430f62e5d
280	d1007ffa-159a-4fec-82ef-b32b7c62eb79	Britwell (1922, Lot 224)	Britwell	1922	224	2fd60424-83cd-435e-a63b-a74ce8109cb5
280	334635c7-bb24-49e3-ae93-0e4d58c61610	Clawson (I, 1926, Lot 233)	Clawson	1926	233	25474604-8164-4ed0-9a83-b43d2b831bff
281	58cb8e55-687c-4970-8f33-5af5e93ce628	Kemble (1814)	Kemble	1814		80efc821-4ca8-458d-95d1-4007d54a5ee8
281	33ffa10c-8ed7-49ac-be26-94abf9e2318d	Devonshire	Devonshire			
281	43a39c94-e90b-42d5-a25d-31bd09bf03d8	Huntington (private)	Huntington			
282	0148880e-105b-461c-9358-d8d17fde640c	Kemble  (1798)	Kemble	1798		69225a0f-7ad7-4670-8a8a-1b0af54cbf3c
282	61f823f4-2108-487b-a95c-5e2c140fa658	Devonshire	Devonshire			
282	249bdddb-d815-4d2c-ba66-62d78c5f85de	Huntington (private)	Huntington			7e8345ea-6c91-43de-a26f-5c448edbfb94
283	c79f0d15-58de-4063-8cda-96ab8c0f284a	Locker	Locker			
283	2df00125-317d-419b-9a12-21858545f6bc	Jones (1918, Lot 472)	Jones	1918	472	910d742b-fa4c-4fc0-aa88-434cb011e412
285	9619db13-a56f-456b-bfcb-1eaa4a398410	Hagen  (1918, Lot 335)	Hagen	1918	335	10b4733b-52cc-49d2-96f8-cc42383cef9c
288	cb67f94f-f53b-414d-9c2c-e837c354ced0	Hoe (III, 1912, Lot 870)	Hoe	1912	870	064407b5-1aec-49d4-b390-75169a83f380
288	b9f95048-6ded-4787-a6c0-8ec71582754b	Huntington (VII, 1918, Lot 220)	Huntington	1918	220	83aecab3-0d94-45a0-90c6-f498530f8136
289	d8bd8cc7-8931-40ca-ad02-2d7198c55f6b	Hagen (1918, Lot 344)	Hagen	1918	344	e8e911c4-a241-4640-b1a7-4348e3fcde2f
29	63425418-4332-4feb-9519-ebb8679ca52c	The Jones (1, 1918, Lot 62)	Jones	1918	62	6c2c20db-72bf-414c-a043-6c1bbb736a0c
290	89474bc7-c727-4e8b-948f-d63715c3d192	Hoe (II, 1912, Lot 1047)	Hoe	1912	1047	61ed630d-6983-4c47-ab34-0e5036e2347d
290	3bf6a2b7-ec39-4349-9af7-1e52462011aa	Huntington (VII, 1918, Lot 224)	Huntington	1918	224	8da3cf4d-8aa1-4fdb-926f-e5b21d5a2a05
291	4e172258-3272-4ce5-84e6-1aadbe3b9ab1	Lefferts (1902, Lot  404)	Lefferts	1902	404	0408d8a6-e283-4258-ac8d-b9d7f99ea8a6
291	0f7e71c7-6a7a-4ed3-b63f-a519dd32cb31	Hoe (II, 1912, Lot 1049)	Hoe	1912	1049	83cc9e5f-0f97-4027-903e-da3eb9d4e2fe
291	ff92ce5f-e2d6-4bc0-923f-8214b363c7d3	Huntington (VII, 1918, Lot 225)	Huntington	1918	225	d1059860-3745-4cc7-b8a9-fe3c2b712c1a
292	49bf2c32-6763-4085-a757-880cbe626fb7	Clawson (I, 1926, Lot 252)	Clawson	1926	252	78f28f71-242f-42e1-af7c-962ec835dc03
293	fe03e596-57cb-41d5-9147-a75c74a48139	Lefferts (Rich-  mond List, p.38)	Lefferts			971ec9e5-1880-47b5-9e3d-6a6d5b46bd72
293	b774eebd-ec5a-4d61-bc99-c12436e9b063	Hagen (1, 1918, Lot 360)	Hagen	1918	360	453cb98b-c338-4e58-9a47-91c2758b427e
293	15befbeb-8658-41a9-8c9e-7fe8b5bcf6ca	Clawson (I, 1926, Lot 247)	Clawson	1926	247	ca8bdc5f-bccd-4df2-90b2-f4e62a6abd68
294	e83e04c7-cb1a-4c9f-afaa-74799089b6a4	Hagen (I, 1918, Lot 356)	Hagen	1918	356	24fe16ec-ac20-4d10-9ec8-aa939812eba6
294	45e435a0-2344-4c3d-ab29-6d3a0c0bc813	Clawson (I, 1926, Lot 243	Clawson	1926	243	bdee53fb-5433-4520-b176-346da88719fd
295	44c24b24-2927-45ea-845f-033bdb83da3b	Wi  4 iper (1891, Lot 506)	Wiper	1891	506	65e05ca7-5a08-4f1e-8468-6b95bca54ff7
295	448bdf4c-ebd6-4a88-bbb0-c4cf71bcb883	Leffe  410)	Leffe			4af0e3f3-bc2d-4e57-a9a9-c241bbf7e079
295	82e465b7-b263-4d20-afea-53c3533acb9a	Hagen (1918, Lot 371)	Hagen	1918	371	82fab644-5206-4970-9af0-aea20cb3fc66
296	1ea013d5-290b-4d10-90b4-a577ef1d95ca	Sotheby’s 25 July 1897, Lot 382	Sotheby’s	1897	382	62b5d246-f3d9-4d29-b33b-0849c68b92e1
296	656b4f5a-ad87-428f-b794-06edee01f764	Hagen  (1918, Lot 361)	Hagen	1918	361	812ffe5b-cfae-4470-9dc6-a904953814c6
298	bcf997d6-fbb5-4838-b418-b9fceee92971	Ayles-  ford (I, 1888, Lot 731)	Ayles- ford	1888	731	eb0938ee-0c64-46d1-9905-35a8fa228aa7
299	d0849660-bd1e-4547-a2b4-a80ce588d0c9	Hagen (I, 1918, Lot  359)	Hagen	1918	359	f1eb2a50-bf79-4deb-9754-65d68a41d269
299	be0f851e-64bc-43d3-bbad-b6e86c2a1c73	Clawson (I, 1926, Lot 246)	Clawson	1926	246	a85d4778-f158-4fcd-9f3a-e190b225c132
30	ca7a3ff2-31c5-4245-bb59-d935d3b7ff18	Walpole Gallery, March 1920, Lot 22.	Walpole Galleries	1920	22	74f8a4d2-b5b5-4113-b470-023f86f6a33b
300	63717057-1595-4d35-9cb4-b7b61610912f	William Collet  of the Hale	William Collet of the Hale			
300	39bcdd6d-6636-46a9-8887-5e8cdcd7bfb3	Clawson (I, 1926, Lot 254)	Clawson	1926	254	204ee1c6-3486-4bf7-b789-7cbfcb39529e
301	48ed113e-352f-4305-a67f-8774e4f80d40	Jones (1918, Lot 513)	Jones	1918	513	475da2dc-b60a-4a1d-aad6-d8031941eb1d
302	6260d831-7f30-45de-b60d-32f22cd31daa	Sotheby’s 15 February 1932, Lot 58.	Sotheby’s	1932	58	65af7bca-5843-4b89-8a24-7467269f7594
303	c05de4e8-4803-4386-bd3d-b5d446853cad	Bindley (IV, 1820, Lot 163)	Bindley	1820	163	26b41f20-3da4-4741-9d2e-77f3facd7080
303	efb0b45d-6c5f-41fe-915c-f80a09d80f19	Heber (IV, 1834, Lot 594)	Heber	1834	594	67a5645a-123a-4976-bd62-c3eff624f928
303	99a7e8fa-9cb2-47d2-bdff-409f5a417dd5	Britwell (1922, Lot 243)	Britwell	1922	243	70dd87d7-51f5-4e34-98f1-d1bd6c4830d8
303	481f998f-c7b0-478f-8871-745ff89c9792	Clawson+{I, 1926, Lot 257)	Clawson	1926	257	21494a74-5c64-441b-a94e-edeee1f97561
304	5a8f8cf3-80e2-4b69-9831-89f825eeb280	Ross Winans	Ross Winans			
304A	b91fb895-12ee-40fe-9081-4159854dbb60	Britwell (1921, Lot 49)	Britwell	1921	49	3a194a75-edaa-495f-b659-fb0129a6190f
305	46972cd4-d3fc-4f0c-a040-d82ce151a710	George Soaper	George Soaper			
305	95c86ed9-15fc-4961-80d8-3f34582e1c9b	Beverly Chew	Beverly Chew			
305	51d2e00b-b803-49fa-8539-dda2475f3856	Huntington  (V, 1917, Lot 154)	Huntington	1917	154	334bc0ba-bacf-4109-aa6f-198628a6a354
305	7e90428d-4831-4683-a3f2-88e6c345c961	Hagen (1918, Lot 384)	Hagen	1918	384	96b391d8-77ab-4381-b824-8a7f0cb2b9f7
306	a0a8eb76-2d8a-4a80-9450-4573495454ff	Hoe (IV, 1912, Lot 1039)	Hoe	1912	1039	4de94fbc-ce86-419d-9922-60b6091e7e1e
306	9c35f550-bc03-4c5f-83a3-e19c6e60e268	Hagen (1918, Lot 383)	Hagen	1918	383	e54615f0-1b99-4f09-8ebe-a2b881c45f35
307	7712ddf3-7bb5-4ae2-9b4a-1b221f8f2f89	McKee (IV, 1gor, Lot  2882)	McKee	1gor	2882	4476653a-36de-4a74-90db-e76f269f4470
307	c9a3dccc-3dc3-4030-b0a5-58b7bb01a3c0	Hagen (1918, Lot 385)	Hagen	1918	385	571c3117-cd17-4cdf-ac5b-705c24b413ed
308	63ba400e-22a0-4b97-b199-99eb5d3998eb	Locker	Locker			
308	cddb2830-5518-403d-8710-ca574f9a67cc	Chew	Chew			
308	997fe120-96ce-4ad5-b93f-be6471120a9b	Huntington (1X, 1918, Lot 203)	Huntington	1918	203	3dba9c53-eb8f-439b-84a4-26fec1b4ba81
31	3b100614-16e5-4ad2-b29a-f59c7a69ccb3	The Mark Robinson,  April 1918, Lot 55	Mark P. Robinson	1918	55	ad185135-ea6c-4e8f-a1bc-957df22cdf6e
312	0bbcf5be-dc60-4f52-9ffd-a8956d6af27a	H.B. Wheatley (1918, Lot 708)	H.B. Wheatley	1918	708	67e76cad-0941-43dd-ba91-15a1a87c3535
313	8c58ae0a-6f75-43cd-96f5-d92596e7ae26	Hagen (1918,  Lot 417)	Hagen	1918	417	6119ec34-cc34-4739-bdeb-912c0292f056
314	b20860aa-e91a-4833-b405-8f34cc6b90c3	Hoe (IIJ, 1912, Lot 972)	Hoe	1912	972	25922a11-a9d2-43de-9f27-e2202694ad77
314	4e6f3f4f-e198-489c-bb01-a800b2f7fb4c	Huntington  (VII, 1918, Lot 242)	Huntington	1918	242	5534ee70-7063-4c63-ba91-446c29120f94
316	a497ebd4-c819-4b83-b923-87462a92e9fd	Lefferts (1902, Lot 448)	Lefferts	1902	448	73ad5306-f97b-47bb-9986-e16a3a109fbe
316	5e63a52a-123a-42a3-ad82-7547f5bcd8a3	Hagen (1918, Lot 400)	Hagen	1918	400	e2284937-2500-42d9-8514-dc3790cdbc7c
317	d3c90c89-d2fd-4dc6-99bb-0b22b1bfbceb	The Dodd (1918, Lot 230)	Dodd	1918	230	7e9e8918-7421-4d8e-a482-ae6e23878fe0
319	85e496ea-ae6d-4439-b48a-a08d21362cd7	Lefferts (1902, Lot 450)	Lefferts	1902	450	e55b6d66-8753-4a26-a1f0-c5bdbc3f2dfd
319	62ae468b-2229-4270-80b3-1c21e7d977fd	Hagen (1918, Lot 414)	Hagen	1918	414	da2db3a7-693a-41ec-a2f4-7ee8e0015b9c
32	306c97d9-d924-4b84-b1c0-535e18c0538c	The Hoe (III, 1912,  Lot 112)	Hoe	1912	112	8433f685-fd4b-4dfc-8622-8c02a78da9b4
32	230e98fd-a8e9-4e11-b833-fc0db1f775c1	Huntington	Huntington			
32	78f4b33d-6a13-4978-9f93-9ba57148742b	English Literature from London (1919, Lot 59a)	English Literature from London	1919	59a	62d9dcbf-3915-478f-93b2-508057a5846c
320	0ef67fc0-9909-4537-949e-1c9852e93caa	Halsey (1919, Lot 379)	Halsey	1919	379	4215124b-b117-4444-96a6-76f43c5f16ef
322	cd830f3d-5e76-467c-b24f-2dce07b5e7e9	Kemble	Kemble			
322	876f647e-e31d-47fd-87d3-0f1787cc40a9	Devonshire	Devonshire			
322	70e688c1-c66f-4b73-ae20-0764058ca39b	Huntington (English Literature from London, 1919, Lot 286)	Huntington	1919	286	d63d93e9-0624-4741-bc3c-46cc9ba7a9cf
323	d77b5ec1-6538-43a0-a1ba-7062de58b64a	Kemble (1798)	Kemble	1798		1402efdf-f06f-4d20-a2ea-60ee4a4c501e
323	e8c8a8dc-68eb-4b12-9265-37c924a66b42	Devonshire	Devonshire			
323	40c2d0a1-1ea9-4bb7-b213-2e023d179c76	Huntington (IX, 1918, Lot 207)	Huntington	1918	207	5a845b27-2d12-4e94-9d88-b36c9813e111
324	0b334b19-0b72-4e08-b7e6-15fbe501ed4c	Halsey	Halsey			
324	3df82b9b-73fd-4de0-bcf1-abe2a8858faf	Huntington  (VI, 1918, Lot 259)	Huntington	1918	259	40be3ee8-40eb-447b-adf4-8357a8777489
325	7e2b5fa1-40a5-4ff5-bd9b-1e6fcf25f6fa	Lefferts (1902, Lot 461)	Lefferts	1902	461	8f9dbcef-2b8b-43da-a6a2-8d213c86b18f
325	14638675-0323-4b98-b531-7d7219d18419	Hagen (1918, Lot 406)	Hagen	1918	406	5f0aa648-73dc-43ce-8ec4-1bfed2d3b491
327	5e4ca340-6ddb-449b-8960-4217656b0f09	The Lefferts (1902, Lot 464)	Lefferts	1902	464	01dd49fb-3a08-4da3-aaf5-2c5981d50ceb
327	a214f63e-f847-44d1-b7ee-b07cda6074ec	Hagen (1918,  Lot 441)	Hagen	1918	441	b22241f6-add3-459e-900d-8db8e5133fea
329	0b5ec1b5-0a76-40e5-9bae-309384470d55	Halliwell Phillipps (1889, Lot 875)	Halliwell Phillipps	1889	875	b77b9d33-0e84-4a16-b134-2ec9d6227dec
329	9ad2e566-fd8e-4987-805a-e1943c83bbcd	Hagen (1918, Lot  420)	Hagen	1918	420	ff5040b0-699e-4141-b9fe-60e59e80a338
33	6ce1777d-44c7-4d4d-9869-04aa73b1c185	The Mark Robinson (I, 1918, Lot 59)	Mark P. Robinson	1918	59	be0fb852-f097-4819-a69f-c2ca9a832f36
330	5b0e6ac5-f7b9-495f-89fb-31db19fa3b51	Lefferts (1902, Lot 474)	Lefferts	1902	474	07a27d84-c87c-46c8-8015-52240d2e5698
330	04ab3b9d-58af-40a1-a7cf-427096465dfb	Hagen (1918,  Lot 409)	Hagen	1918	409	f5d48071-ba62-49f3-add7-ce69ed76509f
331	fd7bb1aa-1392-4bc4-9dcd-247a99fb8bab	Hagen (1918, Lot 427)	Hagen	1918	427	14e0bf4d-4cd2-4a38-8aa1-e6785aebc22d
333	34061120-493a-4e15-97de-29917f55a70b	Hagen (1918, Lot 413)	Hagen	1918	413	acf8b67e-07c7-43df-910e-129bcb684a06
334	1435d9ba-568c-418d-9e3d-7fcf0f414069	Hagen (1918, Lot 419)	Hagen	1918	419	e44e029e-e9ed-4500-af43-b364c8084818
335	282bf943-123a-4066-9f45-dc0d3e9f13df	Hagen (1918, Lot 401)	Hagen	1918	401	92afc67e-a2df-4d6f-9da7-2beab1edfb95
336	1142c70d-842a-4748-b0fa-c2dc73a416cf	Jones (1, 1918, Lot 517)	Jones	1918	517	24b15862-ab28-43c1-b44a-443391083101
337	a5fefb63-ac26-4326-9821-041f555f6cc3	Chew	Chew			
337	ee7bb39f-43f6-443c-8f19-6f4af465f664	Huntington (VII, 1918, Lot 248)	Huntington	1918	248	4ec920b0-258b-4be1-b2f0-37bbb0738c8a
338	42c6b035-0d25-432c-bd34-5a7330ad1d9c	Huth (II, 1912, Lot 2513)	Huth	1912	2513	f29a6ec5-5336-4386-94a4-58ab35d0f4ad
338	e37deabd-d63f-433d-9cc1-58288f6a6529	Hagen (1918, Lot 422)	Hagen	1918	422	8e33119b-1a58-4c3e-9e9c-8497d17674b2
339	f0b1e305-13d9-4d3b-8cde-42f46778b2a1	Shakespeare Library (II, 1918, Lot 122)	Shakespeare Library	1918	122	ceb28b88-3448-405b-95cd-7ad3ae98b8a1
34	161ca953-50ab-4b30-aa1b-e223a8d8ace7	The Shakespeare Library (I, 1918, Lot 56)	Shakespeare Library	1918	56	ed33f200-0f79-4031-96e3-8024bc2905b8
340	9857f74b-1828-44d6-b07d-127d60c726fc	Lefferts (1902, Lot 491)	Lefferts	1902	491	47f8b23c-042e-4866-a1da-bdeb0e2ac5a3
340	01337571-9a0d-4bb7-8e78-8a4bde32e8d7	Hagen (1918, Lot 403)	Hagen	1918	403	cfb66af0-9ffa-410d-ad17-8766e8e4c9f2
341	d237fd9a-abf2-4386-bbb9-dc0e347a413c	Beckford  (J, 1882, Lot 2675)	Beckford	1882	2675	5bd49f3b-45ca-42a8-86b0-7d1d63e1fdb0
341	8586e511-1348-474b-873b-54b6fc3a2b89	Hoe (II, 1912, Lot 1145)	Hoe	1912	1145	76c7b741-bbe4-4369-adce-7189bcc5e3e1
341	a832020c-23b1-4d21-91f6-4cec79410b0d	Huntington (IX, 1918, Lot 211)	Huntington	1918	211	cdc71d8e-84e1-44e8-a42b-b44cb36b3e6b
343	0040188a-63b7-4c45-a882-29ee8c6342e3	Sydney Herbert (1916, Lot 350)	Sydney Herbert	1916	350	6c99e219-319a-4e89-9147-143217ff85b9
346	3398432c-7076-4126-bd37-85cd2a5b8017	Sydney Herbert (1916, Lot 352).	Sydney Herbert	1916	352	2823f40a-720c-4055-a043-d0abec563017
348	c2153676-7601-4f00-9be4-1cc084670ac0	Huth (II, 1912, Lot 2567)	Huth	1912	2567	70419d87-db91-4843-9e8b-cd6af742927d
348	8e3f4300-e5c2-4739-8029-142278ba9c3e	Jones (1916,  Lot 192)	Jones	1916	192	1dd520f8-9d1e-4470-9061-4c7bd5320610
349	1e51d840-42f7-4947-ae6c-fa25990581a0	Sydney Herbert library (1916, Lot 351).	Sydney Herbert	1916	351	f45ce406-03db-4034-aa50-64b37c703abd
35	4cea8514-d41d-4832-bda3-dcc8d0eacd42	The Shakespeare Library (1, 1918, Lot  16)	Shakespeare Library	1918	16	14835563-7319-481c-a709-ed615ba13f4b
350	aac46d16-cfd3-4c18-b837-eed6825f896a	H. W.Poor (III, 1909, Lot 389)	H.W. Poor	1909	389	de7e5dd1-9618-4a45-af9a-a7c1744c7db1
351	dad63fcc-6ecd-4b16-9599-15bdde20be0b	Shakespeare Library (I, 1918, Lot 476)	Shakespeare Library	1918	476	e90da39c-7fe1-4477-8f0c-a3f9e8153b5a
351	a00764f8-5f0d-4ccc-a127-ce3dde37ceee	Clawson (I, 1926, Lot 395)	Clawson	1926	395	3b00b127-d46b-4f10-b12a-437e5a190ed7
352	3b6d4d7e-70da-45bf-b59c-2ed5a24b0ff9	Huth (V, 1916, Lot 4996)	Huth	1916	4996	dc9c09f2-712e-4718-a1bf-4874e78069d0
356	b68c2692-a269-43be-a0cb-5edb3095563e	Shakespeare Library Sale, II, 1918, Lot 464.	Shakespeare Library	1918	464	4a1b051a-9db2-4f55-a9be-0d7c43cee674
357	9ce604d2-5729-4f91-8358-4504d14a5979	Arbury  Library (1920, Lot 100)	Arbury	1920	100	8c163739-ff80-453a-9bbf-678e3aac0f71
357	b5357b26-93af-4cfb-82fc-1fba1affad61	G.D.Smith (II, 1920, Lot 33)	G.D.Smith	1920	33	7fcf366d-03ba-4425-84a7-9c6e18f6dcaa
358	4e5ffa06-e725-4449-9e4f-fd9fc7b4804d	Hagen (1918, Lot 9)	Hagen	1918	9	f37a9182-6c62-44b6-a545-f1086f882e35
359	aae0ab06-fd07-47f8-a749-72dba45ade60	Tite (1874, Lot 1028)	Tite	1874	1028	8b4d57ee-d9f5-43d9-b5bd-544df8bb8e72
359	6c1228b1-f050-44fa-b85e-b06823b464df	Lefferts (1902, Lot 546)	Lefferts	1902	546	2660b794-69e8-4959-8220-46f3e5cfecf3
359	b09ff498-1f96-4ab7-b2e6-ac25b4eed09c	Hagen (1918, Lot 487)	Hagen	1918	487	2f8f399d-5172-4af3-baf5-613b96d4baca
36	0edc5ce6-0a03-412c-bb7d-06c0004cc776	W  alpole Sale (March 1920, Lot 20)	Walpole	1920	20	3a964933-36f2-4571-bac4-667848112d3f
360	696170a0-25a7-41a7-8169-8b6ff523539b	Kemble (1801)	Kemble	1801		dc82c052-2273-4180-a9d1-97ae84bb16b0
360	73898430-580b-4ccc-8a2a-e8f8bbae3903	Devonshire	Devonshire			
360	45846c60-ecbc-4c76-af7a-638eb96f3698	Huntington (IX, 1918, Lot 241)	Huntington	1918	241	65626c98-b144-4bc3-a2cb-cc237ed9dbb0
361	3629043f-68ac-45e1-8256-b6037750ded6	Huntington duplicate, VII, 1918, Lot 282.	Huntington	1918	282	b9e3f329-8fb2-421a-886d-55ae6ec21b21
362	d3dd3a8b-4265-4688-9ede-4eeb35864808	Lord Willoughby de Broket  (private)	Lord Willoughby de Broket			ce60b918-9c93-4b91-a358-821c4c2f17d5
362	c6eefbfc-09af-4c22-a85a-e3289a1c6187	Am. Art Assoc. (3 March 1926, Lot 159)	Am. Art Assoc.	1926	159	04dd9a6c-4f27-436b-8efa-091901b939bf
362	13c7b811-7674-47ff-a50f-6ffd98592004	Seth Terry (1935, Lot 75)	Seth Terry	1935	75	34ab9943-8787-4660-94e1-2f7af77cc009
362A	82fa5970-55bb-4b63-a7e4-41c72fd027a0	Kemble (1800)	Kemble	1800		15029e7d-16bf-48e7-8de8-8cca2d4e79b0
362A	827822b6-b55e-4746-9add-4b00d52073c7	Devon-  shire	Devonshire			
362A	0530759a-ee9b-43f0-8bc0-1b45162b38cd	Huntington (IX, 1918, Lot 246)	Huntington	1918	246	6d059ff7-dba0-4c33-8285-893773908d42
